本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターを着て少年の日なりけり,-19.843287,0.9953747987747192,0.9999996423721313,セーター,三冬,けり,2,"着, 日なり",4,"セーター, 少年, 日, けり",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,7,帷子を着て町人の子なりけり
セーターを着せられてゐる子供かな,-19.95155,0.9942644238471985,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 子供",17,6,外套を着せられてゐる別れかな,7,形代になでられてゐる子供かな,7,下萌にねぢ伏せられてゐる子かな
セーターを着こなしてゐる子供かな,-20.811308,0.9932680726051331,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 子供",17,8,噴水に手をあててゐる子供かな,9,外套を着せられてゐる別れかな,9,そら豆のやうな顔してゐる子かな
セーターの胸の高さを持ち歩く,-20.92115,0.9883134961128235,0.9999997019767761,セーター,三冬,,1,持ち歩く,2,"セーター, 胸",17,8,セーターの錨の模様胸を逸れ,8,泳ぎ子等波の力を持ち歩く,8,セーターの胸にV切る銀ぐさり
セーターを着せられてゐる女かな,-21.071184,0.994667112827301,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 女",17,6,外套を着せられてゐる別れかな,6,セーターを着せられし子の兎跳び,7,下萌にねじ伏せられてゐる子かな
セーターの胸の高さをもてあます,-21.109112,0.9797612428665161,0.9999997019767761,セーター,三冬,,1,もてあます,2,"セーター, 胸",17,7,寒苦鳥夜のつばさをもてあます,8,セーターの胸の薔薇ごと愛さるる,8,氷上の肩青空をもてあます
セーターの胸の高さを競ひけり,-21.445568,0.9853065609931946,0.9999997019767761,セーター,三冬,,1,ひけ,3,"セーター, 胸, 競",17,7,枯木らは枯れし高さを競ひけり,7,セーターの胸にV切る銀ぐさり,7,セーターの上に口あり笑ひあり
セーターの胸の高さを持ち帰る,-21.461714,0.9874371290206909,0.9999997019767761,セーター,三冬,,1,持ち帰る,2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,7,仙人掌の花の孤独を持ち帰る,8,宝石商冬の夜空を持ち帰る
セーターを着せられてゐる少女かな,-21.725454,0.994586706161499,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 少女",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,猫の尻見せられてゐる大暑かな
セーターの胸の高さに反抗期,-21.782932,0.9848134517669678,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 反抗, 期",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,鳥の巣の松の高さに松曇り
セーターの胸の高さのありにけり,-21.885906,0.987621009349823,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, あり, けり",17,6,土雛に鼻の高さのありにけり,7,雪残る山路の高さありにけり,7,田鶴の棹出来る高さのありにけり
セーターを着せられしこと忘れをり,-21.926594,0.9951123595237732,0.9999997019767761,セーター,三冬,,1,着せ,3,"セーター, こと, 忘れ",17,6,セーターを着せられし子の兎跳び,8,セーターを着て風狂に遠くをり,9,竹夫人子を生みしこと忘れたり
セーターをはみ出してゐる子供かな,-21.960346,0.9908846616744995,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 子供",17,6,フレームをはみ出してゐる蕾かな,7,囀のはみ出してゐる大樹かな,8,噴水に手をあててゐる子供かな
セーターに胸の高さのありにけり,-21.984268,0.9890711903572083,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, あり, けり",17,5,土雛に鼻の高さのありにけり,7,障子百枚に梅の木影のありにけり,7,田鶴の棹出来る高さのありにけり
セーターを着こなしてゐる少女かな,-22.039032,0.9940209984779358,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 少女",17,8,鼠花火をはげましてゐる女かな,9,鵯の日をこぼしゐる大樹かな,9,端然と恋をしてゐる雛かな
セーターの肩幅広き男かな,-22.134941,0.9865189790725708,0.9999997019767761,セーター,三冬,かな,1,き,3,"セーター, 肩, 男",17,7,セーターの紫許せ紫禁城,7,借紋服月の街道広きかな,7,セルを着て髪美しき男かな
セーターの胸あたたかき誕生日,-22.196146,0.9888873100280762,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, かき, 誕生, 日",17,8,春塵の顔あたたかき泡の中,8,くれなゐの闇あたたかき雛の間,8,歳晩の雨あたたかき父の家
セーターに顎埋めてゐる子供かな,-22.203465,0.9865714907646179,0.9999997019767761,セーター,三冬,かな,2,"埋め, ゐる",3,"セーター, 顎, 子供",17,7,セーターに顎を埋めて少女期去る,7,虫売に叱られてゐる子供かな,8,形代になでられてゐる子供かな
セーターを着せられてゐる車椅子,-22.210754,0.9945200681686401,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 車, 椅子",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
セーターの胸美しく老いにけり,-22.231867,0.9887427687644958,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, 老い, けり",17,6,セーターの赤が似合ひて老いにけり,6,秋蝶に猶美しく老いにけり,7,秋団扇背筋正しく老いにけり
セーターの襟を正して坐りけり,-22.268232,0.991299033164978,0.9999997019767761,セーター,三冬,けり,2,"正し, 坐り",3,"セーター, 襟, けり",17,7,藁の上の暖くして坐りけり,7,木の実独楽影を正して回りけり,7,野施行の水を濁して戻りけり
セーターをはみ出してゐる女かな,-22.323198,0.9926854372024536,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 女",17,5,フレームをはみ出してゐる蕾かな,6,鼠花火をはげましてゐる女かな,7,箱釣を跼み見てゐる女かな
セーターを胸の高さに吊しけり,-22.384478,0.9921478629112244,0.9999997019767761,セーター,三冬,けり,1,吊し,3,"セーター, 胸, けり",17,7,セーターを着て風狂に遠くをり,8,月見草胸の高さにひらきけり,8,セーターの胸にV切る銀ぐさり
セーターを着て父となり母となり,-22.477081,0.9920412302017212,0.9999997019767761,セーター,三冬,,3,"着, なり, なり",3,"セーター, 父, 母",17,7,セルを着て人となり女とはなりぬ,7,セーターを着て風狂に遠くをり,7,破魔矢受く子は父となり母となり
セーターの胸の奥より妻の声,-22.522358,0.9891853332519531,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, 奥, 妻, 声",17,6,癒えたりし胸の奥より秋の声,7,鷺草や家の奥より母の声,7,セーターの錨の模様胸を逸れ
セーターを着せかけてゐる子供かな,-22.531076,0.991524875164032,0.9999997019767761,セーター,三冬,かな,3,"着せ, かけ, ゐる",2,"セーター, 子供",17,8,外套を着せられてゐる別れかな,8,噴水に手をあててゐる子供かな,9,秋光を傷つけてゐる蜻蛉かな
セーターを着せられてゐる子供たち,-22.57329,0.9930062294006348,0.9999976754188538,セーター,三冬,,2,"着せ, ゐる",2,"セーター, 子供",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,虫売に叱られてゐる子供かな
セーターの胸の高さを選びをり,-22.622705,0.9880186915397644,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 選び",17,7,セーターの胸にV切る銀ぐさり,8,メーデーの一日を墓に遊びをり,8,セーターの袖口ゆるく一人なり
セーターの胸に釦のありにけり,-22.67306,0.991217315196991,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 胸, 釦, あり, けり",17,6,セーターの上に口あり笑ひあり,6,風鈴の処に風のありにけり,6,大神神社の蟇に項のありにけり
セーターを着こなしてゐるところなり,-22.751225,0.9946204423904419,0.9999996423721313,セーター,三冬,,3,"着, こなし, ゐる",2,"セーター, ところ",17,8,鶫茶屋火を落しゐるところなり,9,葛の根を叩き潰してゐるところ,9,セーターを着て風狂に遠くをり
セーターを着せられながら歩くなり,-22.891586,0.993005096912384,0.9999996423721313,セーター,三冬,,2,"着せ, 歩く",1,セーター,17,7,セーターを着せられし子の兎跳び,8,セーターを着て風狂に遠くをり,9,セーターに着きし羽毛のいづくより
セーターを着て病院に入りにけり,-22.942581,0.9976419806480408,0.9999997019767761,セーター,三冬,けり,2,"着, 入り",3,"セーター, 病院, けり",17,6,セーターを着て風狂に遠くをり,7,横縞を着て陽炎に入りゆけり,8,初刷を持ちて炬燵に入りにけり
セーターを着せられてゐる父と母,-22.95156,0.9896478056907654,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 父, 母",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
セーターを着せられながら歩きけり,-22.953772,0.9928287267684937,0.9999996423721313,セーター,三冬,けり,2,"着せ, 歩き",2,"セーター, けり",17,7,セーターを着せられし子の兎跳び,9,走馬灯闇着せられて売られけり,9,セーターを着て風狂に遠くをり
セーターの胸の高さを越えにけり,-23.002441,0.9865583181381226,0.9999997019767761,セーター,三冬,けり,1,越え,3,"セーター, 胸, けり",17,6,秋燕の富士の高さを越えにけり,7,白薔薇の胸の高さに咲きにけり,7,涅槃会の風の峠を越えにけり
セーターに顔押しつけて戻りけり,-23.007347,0.9857213497161865,0.9999997019767761,セーター,三冬,けり,2,"押しつけ, 戻り",3,"セーター, 顔, けり",17,8,セーターに顔出して遠き山が見ゆ,8,文机に顔押しつけて昼寝哉,8,総身に滝音つめて戻りけり
セーターの胸あたたかし誕生日,-23.015602,0.9857205748558044,0.9999997019767761,セーター,三冬,,1,し,4,"セーター, 胸, 誕生, 日",17,7,人の顔ほのあたたかし三ヶ日,8,セーターの上から触れし力瘤,8,石坑の口あたたかし冬の菊
セーターに顔埋めてゐる少女かな,-23.020725,0.9879190921783447,0.9999997019767761,セーター,三冬,かな,2,"埋め, ゐる",3,"セーター, 顔, 少女",17,7,セーターに顎を埋めて少女期去る,8,セーターに顔出して遠き山が見ゆ,8,セーターに乳頭尖らせて少女
セーターを着せられてゐる風の中,-23.077211,0.9953118562698364,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 風, 中",17,6,セーターを着せられし子の兎跳び,7,死に真似をさせられてゐる春の夢,8,風呂敷を褒められてゐる山の芋
セーターの胸の高さにあたたかし,-23.111664,0.9819900393486023,0.9999997019767761,セーター,三冬,,0,,2,"セーター, 胸",17,7,メーデーの腕くめば雨にあたたかし,7,金堂の扉の旦暮にあたたかし,8,泪てふものの流れてあたたかし
セーターの襟を正して結び髪,-23.11826,0.9610113501548767,0.9999996423721313,セーター,三冬,,1,正し,4,"セーター, 襟, 結び, 髪",17,7,夏山の襟を正して最上川,8,セーターの上から触れし力瘤,8,雪冷えの膝を正して強飯式
セーターの胸の高さを乗り越えて,-23.133326,0.9824625849723816,0.9999996423721313,セーター,三冬,,1,乗り越え,2,"セーター, 胸",17,8,セーターの胸の薔薇ごと愛さるる,9,セーターの胸にV切る銀ぐさり,9,笹鳴の笹の高さを移り来つ
セーターを着こなしてゐる二人かな,-23.159193,0.9943415522575378,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 二人",17,8,月の下指話をしてゐる二人かな,9,冬の蚊の往来してゐる二間かな,9,睨む目を見返してゐる秋暑かな
セーターの胸の高さに女立つ,-23.165726,0.9865205883979797,0.9999997019767761,セーター,三冬,,1,立つ,3,"セーター, 胸, 女",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,セーターの紫許せ紫禁城
セーターの胸の高さを飛ばしけり,-23.185223,0.9826562404632568,0.9999997019767761,セーター,三冬,けり,1,飛ばし,3,"セーター, 胸, けり",17,8,白薔薇の胸の高さに咲きにけり,8,麦踏みの胸の厚さを見たりけり,8,セーターの王子風邪気におはしけり
セーターの胸の高さに影法師,-23.18852,0.9810535907745361,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 影, 法師",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,教室の窓の高さに松手入
セーターを首にかけたる子供かな,-23.205677,0.984965980052948,0.9999997019767761,セーター,三冬,かな,1,かけ,3,"セーター, 首, 子供",17,7,小坊主の首にかけたる粽かな,7,一年を菊にかけたる男かな,7,夕蟇を杖にかけたる散歩かな
セーターの胸の高さを測量す,-23.215029,0.9859179258346558,0.9999997019767761,セーター,三冬,,1,測量す,3,"セーター, 胸, 測量",17,7,セーターの錨の模様胸を逸れ,8,セーターの紫許せ紫禁城,8,セーターの胸の薔薇ごと愛さるる
セーターの胸の高さを合掌す,-23.230015,0.9801681637763977,0.9999997019767761,セーター,三冬,,1,合掌す,3,"セーター, 胸, 合掌",17,7,セーターの錨の模様胸を逸れ,8,セーターの上から触れし力瘤,8,セーターの胸の薔薇ごと愛さるる
セーターの胸の高さを見失ふ,-23.273907,0.9875457286834717,0.9999997019767761,セーター,三冬,,1,見失ふ,2,"セーター, 胸",17,6,しんがりの鵯の速さを見失ふ,7,連峰のしののめ鷹を見失ふ,7,セーターの錨の模様胸を逸れ
セーターの襟を正しく結びけり,-23.27694,0.9872780442237854,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 襟, 結び, けり",17,7,セーターの袖口ゆるく一人なり,8,肌寒う独座の襟を正しけり,8,水飯の箸を忙しく使ひけり
セーターを着て頬杖をつきにけり,-23.28221,0.9865385293960571,0.9999997019767761,セーター,三冬,けり,2,"着, つき",3,"セーター, 頬杖, けり",17,7,セーターを着て風狂に遠くをり,8,甚平を着て空中を歩きけり,8,セーターを着て晩年のまだ見えず
セーターに顎をのせたる子供かな,-23.282475,0.9857386946678162,0.9999997019767761,セーター,三冬,かな,1,のせ,3,"セーター, 顎, 子供",17,8,藁束に笠をのせたる案山子かな,8,雛の日の海をのせたる籬かな,8,霜解に転んで来たる子供かな
セーターの肩幅広き男の子,-23.319107,0.9844980835914612,0.9999997019767761,セーター,三冬,,1,き,3,"セーター, 肩, 男の子",17,7,セーターの紫許せ紫禁城,7,セーターの黒い弾力親不孝,8,セーターにつつむ遠野の喉仏
セーターの胸の高さを顧みる,-23.364265,0.9846317768096924,0.9999997019767761,セーター,三冬,,1,顧みる,2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,7,セーターに頭のかたち頭出る,7,セーターの錨の模様胸を逸れ
セーターの胸の高さを支へたる,-23.444574,0.9899867177009583,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 支",17,7,セーターの胸の薔薇ごと愛さるる,8,セーターに頭のかたち頭出る,8,セーターの中に貧しき丘がある
セーターを着せられて来し男かな,-23.462877,0.9926572442054749,0.9999997019767761,セーター,三冬,かな,2,"着せ, 来",2,"セーター, 男",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,セーターを着て晩年のまだ見えず
セーターを着て新聞を読みはじむ,-23.470022,0.9943253993988037,0.9999986886978149,セーター,三冬,,2,"着, 読み",3,"セーター, 新聞, はじ",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,8,自然薯の土つく新聞読みはじむ
セーターを着てまぶしがる子供かな,-23.489702,0.9872269630432129,0.9999996423721313,セーター,三冬,かな,1,着,2,"セーター, 子供",17,9,噴水に手をあててゐる子供かな,9,セルを着て髪美しき男かな,9,セーターを着せられし子の兎跳び
少年の日のセーターを着たりけり,-23.510592,0.9931555390357971,0.9999997019767761,セーター,三冬,けり,1,着,4,"少年, 日, セーター, けり",17,8,秋の蚊のその一匹を獲たりけり,8,花冷の藍大島を着たりけり,8,冬の日の夕照橋を渡りけり
セーターの胸の高さに帰りけり,-23.518715,0.9891229867935181,0.9999997019767761,セーター,三冬,けり,1,帰り,3,"セーター, 胸, けり",17,7,セーターの胸にV切る銀ぐさり,7,武蔵野の雛の小家に帰りけり,7,河骨の水の幽さに灯りけり
セーターをはみ出してゐる夫婦かな,-23.567945,0.9919520616531372,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 夫婦",17,6,フレームをはみ出してゐる蕾かな,7,囀のはみ出してゐる大樹かな,8,白波を繰り出してゐる霞かな
セーターに胸のぬくもりありにけり,-23.572582,0.9848441481590271,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 胸, ぬくもり, あり, けり",17,6,月白の稲にぬくもりありにけり,7,羽子板に胸のふくらみありにけり,8,初蝶に髯の手ざはりありにけり
セーターの胸の高さを競いけり,-23.583172,0.9783252477645874,0.9999997019767761,セーター,三冬,けり,1,競い,3,"セーター, 胸, けり",17,7,セーターの胸にV切る銀ぐさり,8,誰かれの墓の高さに菊咲けり,8,セーターの錨の模様胸を逸れ
セーターの襟を正して眠りけり,-23.612566,0.991780698299408,0.9999997019767761,セーター,三冬,けり,2,"正し, 眠り",3,"セーター, 襟, けり",17,7,木の実独楽影を正して回りけり,7,鴛鴦の襖を隔て眠りけり,7,野施行の水を濁して戻りけり
セーターの胸ポケツトに手を置きて,-23.616882,0.9867712259292603,0.9999997019767761,セーター,三冬,,1,置き,4,"セーター, 胸, ポケツト, 手",17,8,ナイターの坩堝の中に身を置きて,9,枯山や子の骨格に手を置きて,9,毛見衆のポケツトに手を突こんで
セーターの胸の高さに眼鏡拭く,-23.632622,0.9839441776275635,0.9999997019767761,セーター,三冬,,1,拭く,3,"セーター, 胸, 眼鏡",17,8,セーターの胸の薔薇ごと愛さるる,8,あら玉の年の始めの眼鏡拭く,8,セーターの錨の模様胸を逸れ
セーターの中の一人が笑ひ出す,-23.652185,0.9938786625862122,0.9999997019767761,セーター,三冬,,2,"笑ひ, 出す",3,"セーター, 中, 一人",17,7,五智如来の中の一人が咳こぼす,7,セーターの上に口あり笑ひあり,8,セーターに頭のかたち頭出る
セーターの胸の高さを身につけて,-23.657887,0.9818683862686157,0.9898203015327454,セーター,三冬,,1,つけ,3,"セーター, 胸, 身",17,8,セーターの胸の薔薇ごと愛さるる,8,穴惑ばらの刺繍を身につけて,9,白薔薇の胸の高さに咲きにけり
セーターを着せられてゐる妻の膝,-23.69077,0.9942234754562378,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 妻, 膝",17,6,セーターを着せられし子の兎跳び,7,死に真似をさせられてゐる春の夢,8,風呂敷を褒められてゐる山の芋
セーターを着せられてゐる高さかな,-23.697645,0.995031476020813,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",1,セーター,17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,下萌にねじ伏せられてゐる子かな
セーターの胸の上なる乳房かな,-23.70308,0.9768049716949463,0.9999997019767761,セーター,三冬,かな,0,,4,"セーター, 胸, 上, 乳房",17,7,クローバの丘の上なる牧舎かな,7,はんざきの石の上なる眠りかな,7,父の忌の海の上なる星座かな
セーターの胸の高さの見えてゐる,-23.70393,0.9860144257545471,0.9999997019767761,セーター,三冬,,2,"見え, ゐる",2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,8,雪卸し有事の艦の見えてゐる,8,セーターの赤標的になっている
セーターの胸の高さに風吹けり,-23.712057,0.9833542108535767,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, 風吹, けり",17,7,白薔薇の胸の高さに咲きにけり,7,誰かれの墓の高さに菊咲けり,7,送り火や胸の高さに風吹いて
セーターの襟を正して戻りけり,-23.735409,0.9902607798576355,0.9999997019767761,セーター,三冬,けり,2,"正し, 戻り",3,"セーター, 襟, けり",17,6,野施行の水を濁して戻りけり,7,葉隠りの滝に礼して戻りけり,7,人妻の茅の輪を抜けて戻りけり
セーターの中の一人と思ひけり,-23.761835,0.9937450289726257,0.9999997019767761,セーター,三冬,けり,1,思ひ,4,"セーター, 中, 一人, けり",17,7,うすものの声よき人と思ひけり,7,普陀落の海の鯨と思ひけり,7,雛壇の外の一生と思ひをり
セーターの紐ゆるやかに反抗期,-23.76246,0.9892306327819824,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 紐, 反抗, 期",17,7,春の夜の紐ゆるやかに束ね髪,8,二挺艪の音ゆるやかに蝶の昼,8,混浴の刻ゆるやかに夏木立
セーターの胸の高さに立ちつくす,-23.764652,0.9851555228233337,0.9999997019767761,セーター,三冬,,1,立ちつくす,2,"セーター, 胸",17,7,野の末の雁の別れに立ちつくす,8,別れ蚊や瓜割の井に立ちつくす,8,セーターの胸の薔薇ごと愛さるる
セーターを着せられし手をかざしけり,-23.778713,0.9904997944831848,0.9999997019767761,セーター,三冬,けり,2,"着せ, かざし",3,"セーター, 手, けり",17,7,セーターを着せられし子の兎跳び,9,春火鉢かじかみし手をかざしけり,10,揚雲雀鏃掘る手をかざしけり
セーターの胸をはだけて睡りけり,-23.779745,0.9861694574356079,0.9999997019767761,セーター,三冬,けり,2,"はだけ, 睡り",3,"セーター, 胸, けり",17,8,セーターの赤が似合ひて老いにけり,8,セーターの胸にV切る銀ぐさり,8,人妻の茅の輪を抜けて戻りけり
セーターの胸の高さのあきらかに,-23.788942,0.9836990833282471,0.9999996423721313,セーター,三冬,,0,,2,"セーター, 胸",17,7,早苗田の風の形のあきらかに,8,蝉鳴きだす海の背筋のあきらかに,8,新樹風鳶の尾舵のあきらかに
セーターを着せられてゐること忘れ,-23.805613,0.9941155910491943,0.9999996423721313,セーター,三冬,,3,"着せ, ゐる, こと忘れ",2,"セーター, こと",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,死に真似をさせられてゐる春の夢
セーターの胸の高さの少年期,-23.814823,0.9871160984039307,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 少年, 期",17,7,セーターの錨の模様胸を逸れ,8,セーターの黒い弾力親不孝,8,粽の盆胸の高さに六年生
セーターの胸の高さを測りつつ,-23.850399,0.988686203956604,0.9999996423721313,セーター,三冬,,1,測り,2,"セーター, 胸",17,7,笹鳴の笹の高さを移り来つ,8,セーターの錨の模様胸を逸れ,8,セーターの胸にV切る銀ぐさり
セーターを着て鉛筆を使ひをり,-23.852148,0.9915215969085693,0.9999997019767761,セーター,三冬,,2,"着, 使ひ",2,"セーター, 鉛筆",17,5,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,8,セーターの上に口あり笑ひあり
セーターの襟を正してあはれなり,-23.865767,0.9899753332138062,0.9999997019767761,セーター,三冬,,1,正し,3,"セーター, 襟, あはれ",17,8,渋柿の色艶栄えてあはれなり,8,草の市價安くてあはれなり,8,行く秋の涙もなしにあはれなり
セーターをひとまはりして売られけり,-23.886858,0.9868003726005554,0.9999996423721313,セーター,三冬,けり,2,"はりし, 売ら",5,"セーター, ひと, ま, はり, けり",17,9,その青田ひとめぐりして別れけり,9,紅い芙蓉をひとまはりして来る子です,10,種池を一とまはりして山へ消ゆ
セーターを着て青年の日なりけり,-23.91591,0.9930312037467957,0.9999996423721313,セーター,三冬,けり,2,"着, 日なり",4,"セーター, 青年, 日, けり",17,6,セーターを着て晩年のまだ見えず,7,甚平を着て鬼貫の忌なりけり,7,セーターを着て風狂に遠くをり
セーターの襟を正しと結びけり,-23.921682,0.8961092233657837,0.9999997019767761,セーター,三冬,けり,1,正し,4,"セーター, 襟, 結び, けり",17,7,小満の風を青しと遊びけり,8,苧の露白々と結びけり,8,肌寒う独座の襟を正しけり
セーターの胸の高さに反り返る,-23.93706,0.9815393686294556,0.9999997019767761,セーター,三冬,,1,反り返る,2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,7,早咲きの梅の白さに振り返る,8,セーターの赤標的になっている
セーターを着せられてゐること愉し,-23.97627,0.994281530380249,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",2,"セーター, こと",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,死に真似をさせられてゐる春の夢
セーターの襟を正しく並べけり,-23.992928,0.9889740943908691,0.9999997019767761,セーター,三冬,けり,1,並べ,3,"セーター, 襟, けり",17,7,セーターの袖口ゆるく一人なり,8,春の海岬の数を並べけり,8,セーターの上に口あり笑ひあり
セーターの胸を写真に撮られをり,-24.006891,0.8925929665565491,0.9999997019767761,セーター,三冬,,1,撮ら,3,"セーター, 胸, 写真",17,8,セーターの胸にV切る銀ぐさり,8,セーターを着て風狂に遠くをり,8,クーラーの風音脳波とられをり
セーターに包む憲法記念の日,-24.016079,0.9894412159919739,0.9999997019767761,セーター,三冬,,1,包む,4,"セーター, 憲法, 記念, 日",17,6,東京に滞在憲法記念の日,6,修正ペン滲む憲法記念の日,7,大仏を仰ぐ憲法記念の日
セーターを着せられてゐる乙女かな,-24.038116,0.9948224425315857,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 乙女",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,福耳を褒められてゐる接木かな
セーターの肩のあたりが動き出す,-24.049046,0.9883266687393188,0.9999996423721313,セーター,三冬,,2,"動き, 出す",3,"セーター, 肩, あたり",17,8,セーターに頭のかたち頭出る,9,セーターの上に口あり笑ひあり,9,観音の腰のあたりに春蚊出づ
セーターの男ばかりの車椅子,-24.066393,0.9849947690963745,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 男, 車, 椅子",17,7,早苗饗の女ばかりの車座も,7,潮焼の男ばかりの踊かな,7,七十路の男ばかりの花筵
セーターの胸の高さに星ひとつ,-24.086496,0.9823897480964661,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 星, ひと",17,8,祈る手の胸の高さに秋の風,8,セーターの上に口あり笑ひあり,8,夜鷹鳴く森の高さに星ひかり
セーターの胸のあたりを歩くなり,-24.100792,0.9894958138465881,0.9999997019767761,セーター,三冬,,1,歩く,3,"セーター, 胸, あたり",17,8,鶏頭の首のあたりを憎みけり,8,セーターの袖口ゆるく一人なり,8,セーターの胸にV切る銀ぐさり
