本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターの中の大きな男の子,-25.136408,0.9923893809318542,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 中, 男の子",17,7,セーターの錨の模様胸を逸れ,7,カーテンの隙に大きな春の雪,7,昨日より声の大きな燕の子
セーターの胸の高さを廻転す,-25.138859,0.9840547442436218,0.9999997019767761,セーター,三冬,,1,廻転す,3,"セーター, 胸, 廻転",17,7,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,祈る手の胸の高さに秋の風
セーターを着こなしてゐる男ゐて,-25.147005,0.9894384741783142,0.9999997019767761,セーター,三冬,,4,"着, こなし, ゐる, 男ゐ",2,"セーター, 男",17,9,セーターを着せられし子の兎跳び,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり
セーターを着ていつまでも妻とゐる,-25.154224,0.9960426688194275,0.9999997019767761,セーター,三冬,,2,"着, ゐる",2,"セーター, 妻",17,9,風花の空をいつまで眺めゐる,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり
セーターの胸突きあげてゆきにけり,-25.16969,0.9842623472213745,0.9999997019767761,セーター,三冬,けり,1,突きあげ,4,"セーター, 胸, ゆき, けり",17,7,セーターの赤が似合ひて老いにけり,8,夕顔の悲鳴をあげて咲きにけり,9,松明けの蟹船を出てゆきにけり
セーターを着せられてゐる背丈かな,-25.170547,0.9827307462692261,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 背丈",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,福耳を褒められてゐる接木かな
セーターに顎やはらかく着てゐたり,-25.176497,0.9838244318962097,0.9999996423721313,セーター,三冬,や,2,"着, ゐ",3,"セーター, 顎, はら",17,9,湯豆腐に膝やはらかく崩しけり,9,走り茶や水やはらかく使ひたり,9,春暁を髪やはらかく目覚めたり
セーターを着せられてゐる一人なり,-25.190577,0.9951935410499573,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",2,"セーター, 一人",17,7,セーターを着せられし子の兎跳び,8,セーターの袖口ゆるく一人なり,8,外套を着せられてゐる別れかな
セーターに包み忘れし手紙かな,-25.191998,0.987738847732544,0.9999997019767761,セーター,三冬,かな,3,"包み, 忘れ, し",2,"セーター, 手紙",17,7,旧年の畑に忘れし手鍬かな,8,ストーヴに遂に投ぜし手紙かな,8,梟の聲にみだれし螢かな
セーターを着こなしてゐる朝の椅子,-25.196173,0.993966817855835,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 朝, 椅子",17,9,セーターより子の頸が出る朝の雪,10,セーターを着て晩年のまだ見えず,10,夏空を突きさしてゐる塔の群
セーターをはみ出してゐる怒濤音,-25.201487,0.981518030166626,0.9999997019767761,セーター,三冬,,2,"はみ出し, ゐる",3,"セーター, 怒濤, 音",17,7,肩幅をはみ出してゐる麦藁帽,7,フレームをはみ出してゐる蕾かな,8,父だけがはみ出してゐる砂日傘
セーターに胸突込んで戻りけり,-25.21776,0.988105058670044,0.9999997019767761,セーター,三冬,けり,2,"突込ん, 戻り",3,"セーター, 胸, けり",17,8,銃を肩に青きを踏で戻りけり,8,雲衲等霰に飛んで帰りけり,8,セーターに首長族のここちせり
セーターの胸の高さに耳ふたつ,-25.231544,0.9839969873428345,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 耳, ふた",17,8,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ,8,セーターの樅の木の色会ひたしよ
セーターの胸をはだけて吾子抱く,-25.232054,0.9849370121955872,0.9999997019767761,セーター,三冬,,2,"はだけ, 抱く",3,"セーター, 胸, 吾子",17,9,浅黒き胸をはだけてマンゴ売,9,甚平の前をはだけて宇宙論,9,セーターの胸にV切る銀ぐさり
セーターに顔埋めてゐる日の盛,-25.234333,0.9848098754882812,0.9999997019767761,セーター,三冬,,2,"埋め, ゐる",3,"セーター, 顔, 日",17,7,セーターに顎を埋めて少女期去る,8,くれなゐに布染めてゐる鵙の昼,8,セーターに顔出して遠き山が見ゆ
セーターの胸の高さよ母の家,-25.234886,0.9859578609466553,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 母, 家",17,7,祈る手の胸の高さに秋の風,7,文旦の皮の厚さよ母の恩,7,セーターの錨の模様胸を逸れ
セーターの胸の高さを選びたし,-25.237213,0.9888625741004944,0.9999996423721313,セーター,三冬,,1,選び,2,"セーター, 胸",17,7,セーターの樅の木の色会ひたしよ,8,おほばこの花の若さを詠ひたし,8,セーターの胸の薔薇ごと愛さるる
セーターの男ばかりが生きてをり,-25.259592,0.9866871237754822,0.9999997019767761,セーター,三冬,,1,生き,2,"セーター, 男",17,8,秋の風人の恩ばかりに生きて,8,行年の齲歯の虫が生きてをり,9,死人花万と咲かせて生きてをり
セーターにくつろいでゐる男かな,-25.269432,0.988193690776825,0.9999997019767761,セーター,三冬,かな,2,"くつろい, ゐる",2,"セーター, 男",17,6,登山着にくつろいでゐる乳房かな,8,土塊にくつついてゐる子藷かな,9,花屑のはりついてゐる蹄かな
セーターの胸さわやかに反抗期,-25.28317,0.9889171123504639,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 反抗, 期",17,8,炎帝の下さわやかに蛭泳ぐ,8,セーターの胸にV切る銀ぐさり,9,セーターの色とりどりに八岳仰ぐ
セーターの襟を正してゆれやまず,-25.294258,0.9866706132888794,0.9999997019767761,セーター,三冬,,3,"正し, ゆれ, やま",2,"セーター, 襟",17,9,セーターの上から触れし力瘤,9,水鳥の百羽の影のゆれやまず,9,セーターに顎を埋めて少女期去る
セーターの中の一人が立つてゐる,-25.298847,0.9938411116600037,0.9999949932098389,セーター,三冬,,2,"立つ, ゐる",3,"セーター, 中, 一人",17,8,セーターの中に貧しき丘がある,8,双眼鏡の中の千鳥が鳴いてゐる,8,セーターの胸の薔薇ごと愛さるる
セーターを着こなしてゐる父と子と,-25.305943,0.9883081316947937,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 父, 子",17,10,セーターを着て風狂に遠くをり,10,セーターを腰に巻きつけ津軽っ子,10,葛の根を叩き潰してゐるところ
セーターを着こなしてゐる気安さよ,-25.314825,0.991716206073761,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",1,セーター,17,10,セーターに顔出して遠き山が見ゆ,10,寄席の前焚火してゐる淋しさよ,10,セーターを着せられし子の兎跳び
セーターをひつぱつてゐる子供かな,-25.316175,0.9902707934379578,0.9999996423721313,セーター,三冬,かな,1,ゐる,3,"セーター, ひつ, 子供",17,7,屋根の雪ひつぱつてゐる氷柱かな,8,ラグビーのぶつかつてゐる虚空かな,8,明方をひえきつてゐる炬燵かな
セーターの胸の高さを指で押す,-25.32371,0.9817785024642944,0.9999997019767761,セーター,三冬,,1,押す,3,"セーター, 胸, 指",17,8,大寒の川の芥を棒で押す,8,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ
セーターを着こなしてゐる恋ごころ,-25.339237,0.9930658936500549,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 恋, ごころ",17,9,葛の根を叩き潰してゐるところ,10,青柿の瞳を閉ぢてゐるところ,10,セーターに顔出して遠き山が見ゆ
セーターに顎埋めてゐるひとりかな,-25.343012,0.9864017963409424,0.9999997019767761,セーター,三冬,かな,2,"埋め, ゐる",3,"セーター, 顎, ひとり",17,8,向うにも虹を見てゐるひとりかな,8,セーターに顎を埋めて少女期去る,8,寺道の雪割つてゐるひとりかな
セーターの首を傾げて少年期,-25.356035,0.9911491274833679,0.9999997019767761,セーター,三冬,,1,傾げ,4,"セーター, 首, 少年, 期",17,7,セーターに顎を埋めて少女期去る,8,セーターの上から触れし力瘤,8,ラグビーの首を構へて相対す
セーターの胸の高さに非常口,-25.362312,0.9736089110374451,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 口",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,セーターの上から触れし力瘤
セーターの胸をはだけし怒濤かな,-25.386312,0.9781650900840759,0.9999997019767761,セーター,三冬,かな,1,し,3,"セーター, 胸, 怒濤",17,9,粒選りの星を見つけし門火かな,9,セーターの赤をよそほう悲しみも,9,セーターの胸にV切る銀ぐさり
セーターに顔をいくつも並べけり,-25.395824,0.9916419982910156,0.9999997019767761,セーター,三冬,けり,1,並べ,4,"セーター, 顔, いく, けり",17,8,クローバの丘がいくつも並びけり,8,抜参り川をいくつも渡りけり,9,涅槃雪渚に蒼くつもりけり
セーターの胸ひらひらと人の死へ,-25.424734,0.9847985506057739,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 人, 死",17,8,セーターの胸の薔薇ごと愛さるる,9,ライターの炎ひとひら樹氷林,9,デパートの旗ひらひらと火事の雲
セーターに顔埋めてをり農学部,-25.429222,0.9863865375518799,0.9999997019767761,セーター,三冬,,1,埋め,5,"セーター, 顔, り, 農学, 部",17,7,セーターに顎を埋めて少女期去る,8,セーターに顔出して遠き山が見ゆ,9,潮騒に夢溜めてをり子安貝
セーターを着せかけてゐる家族かな,-25.43636,0.9921106696128845,0.9999997019767761,セーター,三冬,かな,3,"着せ, かけ, ゐる",2,"セーター, 家族",17,8,外套を着せられてゐる別れかな,9,菊畑をかたづけてゐる烟かな,9,ラグビーのぶつかつてゐる虚空かな
セーターの胸あたたかき母の肩,-25.448719,0.9861117005348206,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, かき, 母, 肩",17,7,くれなゐの闇あたたかき雛の間,7,春塵の顔あたたかき泡の中,7,歳晩の雨あたたかき父の家
セーターの襟を正して二人連,-25.462912,0.9683489799499512,0.9999996423721313,セーター,三冬,,1,正し,3,"セーター, 襟, 二人連",17,7,夏山の襟を正して最上川,8,セーターの黒い弾力親不孝,8,雪冷えの腰を正して強飯式
セーターの胸の高さに首出せり,-25.46838,0.9791635274887085,0.9999997019767761,セーター,三冬,,1,首出せ,3,"セーター, 胸, 首",17,7,セーターの胸にV切る銀ぐさり,8,セーターの胸の薔薇ごと愛さるる,8,白薔薇の胸の高さに咲きにけり
日曜の子にセーターを着せにけり,-25.468927,0.9906454086303711,0.9999997019767761,セーター,三冬,けり,1,着せ,4,"日曜, 子, セーター, けり",17,8,菜の花に鮠釣舟を寄せにけり,8,菜の花に鮑釣舟を寄せにけり,9,緋の色のセーターを着る夕まぐれ
セーターを胸の高さに着こなせる,-25.470387,0.9783764481544495,0.9999996423721313,セーター,三冬,,2,"着, こなせる",2,"セーター, 胸",17,8,夏服の風の軽さを着こなせる,8,セーターの胸の薔薇ごと愛さるる,9,セーターに首長族のここちせり
セーターを着せられてゐる入江かな,-25.471872,0.9921137690544128,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 入江",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,猫の尻見せられてゐる大暑かな
セーターの胸の高さのつめたかり,-25.48434,0.9858470559120178,0.9999996423721313,セーター,三冬,,0,,4,"セーター, 胸, つめ, たかり",17,8,セーターの胸にV切る銀ぐさり,8,セーターの樅の木の色会ひたしよ,8,セーターの胸の薔薇ごと愛さるる
セーターの胸の高さをふりかぶる,-25.490366,0.9771817326545715,0.9999996423721313,セーター,三冬,,1,ふりかぶる,2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,8,夕立の半透明をふりかぶる,8,退職の日の囀りをふりかぶり
セーターを着て少年の死を悼む,-25.494669,0.9947017431259155,0.9999997019767761,セーター,三冬,,2,"着, 悼む",3,"セーター, 少年, 死",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,9,セーターを両手縛りに肚決めて
セーターを著て淋しさの中にあり,-25.506998,0.9920934438705444,0.9999996423721313,セーター,三冬,,2,"著, あり",2,"セーター, 中",17,7,ボーナスのなき淋しさの妻にあり,8,セーターを着て風狂に遠くをり,8,初夏の胸ぐるしさの中にあり
セーターを着こなしてゐる少女らに,-25.50824,0.9914153814315796,0.9999995231628418,セーター,三冬,,3,"着, こなし, ゐる",2,"セーター, 少女",17,10,セーターに顔出して遠き山が見ゆ,10,セーターを着て晩年のまだ見えず,10,セーターを着せられし子の兎跳び
セーターに顎のさみしき女かな,-25.520874,0.9871929883956909,0.9999997019767761,セーター,三冬,かな,2,"さみし, き",3,"セーター, 顎, 女",17,7,紺青の蟹のさみしき泉かな,8,赤松の方のさみしき夏暁かな,8,胸高に童のさせし扇かな
セーターの胸の高さに人の死す,-25.525671,0.9865602254867554,0.9999997019767761,セーター,三冬,,1,死す,3,"セーター, 胸, 人",17,7,祈る手の胸の高さに秋の風,8,初花の朴の高さに勤行す,8,下総や胸の高さに鴨の水
セーターに顔入れてゐる赤子かな,-25.527987,0.9872761368751526,0.9999997019767761,セーター,三冬,かな,2,"入れ, ゐる",3,"セーター, 顔, 赤子",17,7,ソプラノに洗はれてゐる障子かな,8,汀まで雨に濡れゐる障子かな,8,老人の気に入つてゐる冬木かな
セーターを着せられてゐる父の老い,-25.528534,0.9915854930877686,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 父, 老い",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
セーターの胸の高さに木の股に,-25.530888,0.971953272819519,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 木, 股",17,7,祈る手の胸の高さに秋の風,8,セーターの胸にV切る銀ぐさり,8,下総や胸の高さに鴨の水
セーターをはみ出してゐる恋ごころ,-25.53945,0.9871819615364075,0.9999997019767761,セーター,三冬,,2,"はみ出し, ゐる",3,"セーター, 恋, ごころ",17,8,肩幅をはみ出してゐる麦藁帽,8,羽子板をはみ出してゐる写楽の目,8,フレームをはみ出してゐる蕾かな
セーターを頭にのせて老いにけり,-25.545975,0.9892146587371826,0.9999997019767761,セーター,三冬,けり,1,のせ,4,"セーター, 頭, 老い, けり",17,6,セーターの赤が似合ひて老いにけり,8,紫の被布をこのみて老にけり,8,保養所の猟犬にして老いにけり
セーターの襟に汚れのありにけり,-25.553757,0.9933241605758667,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 襟, 汚れ, あり, けり",17,7,春耕の雨に匂いのありにけり,7,金魚玉の中に睡魔のありにけり,7,かりそめの露にも影のありにけり
セーターを着て数学を習ふなり,-25.59029,0.9928809404373169,0.9999996423721313,セーター,三冬,,2,"着, 習ふ",2,"セーター, 数学",17,6,セーターを着て風狂に遠くをり,8,セーターの袖口ゆるく一人なり,8,セーターを着て晩年のまだ見えず
セーターを著て新聞を読みはじむ,-25.605385,0.9861981868743896,0.9999988675117493,セーター,三冬,,2,"著, 読み",3,"セーター, 新聞, はじ",17,8,自然薯の土つく新聞読みはじむ,9,セーターを着て風狂に遠くをり,9,秋灯下聊斎志異を読みはじむ
セーターに包丁を置く女の手,-25.619408,0.9615248441696167,0.9999997019767761,セーター,三冬,,1,置く,4,"セーター, 包丁, 女, 手",17,8,飴切の包丁を置く霰かな,8,月代や膝に手を置く宵の宿,8,セーターに乳頭尖らせて少女
セーターに顎埋めなほす誕生日,-25.658873,0.9868437051773071,0.9999997019767761,セーター,三冬,,2,"埋め, ほす",4,"セーター, 顎, 誕生, 日",17,7,セーターに顎を埋めて少女期去る,8,セーターに顎まで埋め怠惰なり,9,セーターに頭のかたち頭出る
セーターに顎つけて泣く子供かな,-25.670212,0.9866027235984802,0.9999997019767761,セーター,三冬,かな,2,"顎つけ, 泣く",3,"セーター, 顎, 子供",17,8,割箸に水つけてかく蕨かな,8,ぼうたんにかこまれて泣く子供かな,9,絶壁に眉つけて飲む清水かな
セーターに坐り直して顔洗ふ,-25.674564,0.9890681505203247,0.9999997019767761,セーター,三冬,,2,"坐り直し, 洗ふ",2,"セーター, 顔",17,7,秋水に鎌を浸して顔洗ふ,8,セーターに乳頭尖らせて少女,8,風立つや坐り直して花筵
セーターに顎のあたりしまま眠る,-25.679337,0.8380083441734314,0.9999997019767761,セーター,三冬,,2,"あたりし, 眠る",4,"セーター, 顎, あたり, まま",17,7,セーターに頭のかたち頭出る,8,セーターに顎を埋めて少女期去る,9,セーターの胸の薔薇ごと愛さるる
セーターに顔埋めること愉しくて,-25.679861,0.9781394004821777,0.9999997019767761,セーター,三冬,,1,埋める,3,"セーター, 顔, こと",17,9,セーターに首長族のここちせり,9,くるぶしに翼あるごと涼しくて,9,メーデーに加はることに妻不服
セーターを着せて身軽に帰りけり,-25.684683,0.9916871786117554,0.9999997019767761,セーター,三冬,けり,2,"着せ, 帰り",2,"セーター, けり",17,6,セーターを着て風狂に遠くをり,8,セーターを着せられし子の兎跳び,9,火事跡を見て老犬は帰りけり
セーターを着て夕刊を買ひにけり,-25.689133,0.9943361878395081,0.9999996423721313,セーター,三冬,けり,2,"着, 買ひ",3,"セーター, 夕刊, けり",17,7,セーターを着て風狂に遠くをり,7,観世音を見て物種を買ひにけり,8,子の疣を抓む苧殻を買ひにけり
セーターの胸あたたかく着ていたり,-25.715126,0.9753342866897583,0.9999996423721313,セーター,三冬,,2,"着, い",2,"セーター, 胸",17,8,冬帽の額あたたかく着そめけり,9,集団就職の列あたたかき雲得たり,9,ポケットの闇あたたかく松ぼくり
セーターに顎つき出して父帰る,-25.71885,0.9867111444473267,0.9999997019767761,セーター,三冬,,2,"つき出し, 帰る",3,"セーター, 顎, 父",17,8,梨棚に首つき出して野分晴,8,セーターにつつむ遠野の喉仏,8,セーターに頭のかたち頭出る
セーターの胸まで垂らし誕生日,-25.722698,0.9889819622039795,0.9999997019767761,セーター,三冬,,1,垂らし,4,"セーター, 胸, 誕生, 日",17,8,セーターの胸にV切る銀ぐさり,8,セーターに顎まで埋め怠惰なり,8,セーターの上から触れし力瘤
セーターの肩がこちらを向いている,-25.736065,0.9885323643684387,0.9999995827674866,セーター,三冬,,2,"向い, いる",2,"セーター, 肩",17,8,セーターの赤標的になっている,9,雨垂れはさみしこちらを向いて寝よ,9,立春の山羊はこちらを向いて啼く
セーターを着て疲れたることもなく,-25.738895,0.9964448809623718,0.9999997019767761,セーター,三冬,,2,"着, 疲れ",2,"セーター, こと",17,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり,9,セーターを着せられし子の兎跳び
セーターの折目正しく老いにけり,-25.740637,0.984624981880188,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 折目, 老い, けり",17,6,セーターの赤が似合ひて老いにけり,7,秋団扇背筋正しく老いにけり,8,衣更へて命涼しく老いにけり
セーターを着せられてゐる旅の顔,-25.748453,0.9943711757659912,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 旅, 顔",17,6,セーターを着せられし子の兎跳び,7,死に真似をさせられてゐる春の夢,8,外套を着せられてゐる別れかな
セーターを着せられてをり一人旅,-25.750177,0.994644820690155,0.9999997019767761,セーター,三冬,,1,着せ,4,"セーター, り, 一人, 旅",17,6,セーターを着せられし子の兎跳び,9,命終を告げられてをり白牡丹,9,セーターをあれこれ鏡に夫癒ゆる
セーターを着て少年の眼鏡かな,-25.768105,0.9907810688018799,0.9999997019767761,セーター,三冬,かな,1,着,3,"セーター, 少年, 眼鏡",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,8,黒豚を抱く少年の素足かな
セーターの胸開けてゐる畳かな,-25.777805,0.986961305141449,0.9999997019767761,セーター,三冬,かな,2,"開け, ゐる",3,"セーター, 胸, 畳",17,7,古墳みな口開けてゐる朧かな,7,風の日の茎漬けてゐる女かな,7,若竹に猫の寝てゐる畳かな
セーターの襟を正して納めけり,-25.77816,0.9820524454116821,0.9999997019767761,セーター,三冬,けり,2,"正し, 納め",3,"セーター, 襟, けり",17,8,白子干し朝日に干して納めけり,8,糊浴衣威儀を正して乾きけり,8,噴水の水を倒して止めにけり
セーターを着せられている父がいる,-25.78043,0.9926563501358032,0.9999996423721313,セーター,三冬,,3,"着せ, いる, いる",2,"セーター, 父",17,7,セーターを着せられし子の兎跳び,9,外套を着せられてゐる別れかな,9,軍艦へ身を寄せている貝がある
セーターの紐の先まで女の子,-25.780848,0.9880847930908203,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 紐, 先, 女の子",17,7,枯蔓の先の先まで鐘の音,7,切りたての髪の先まで春の風,7,セーターの錨の模様胸を逸れ
セーターを着て誕生日近づけり,-25.785053,0.9956851005554199,0.9999997019767761,セーター,三冬,,2,"着, 近づけ",3,"セーター, 誕生, 日",17,6,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,セーターの袖口ゆるく一人なり
セーターを着て濁世に近づきぬ,-25.78631,0.987433135509491,0.9999997019767761,セーター,三冬,,2,"着, 近づき",2,"セーター, 濁世",17,6,セルを着て父の齢に近づきぬ,6,セーターを着て風狂に遠くをり,8,セーターを両手縛りに肚決めて
セーターを着せられてゐるボールかな,-25.793087,0.9939995408058167,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, ボール",17,7,外套を着せられてゐる別れかな,8,セーターを着せられし子の兎跳び,9,下萌にねじ伏せられてゐる子かな
セーターの胸の高さを想い見る,-25.795712,0.9855160713195801,0.9999996423721313,セーター,三冬,,2,"想い, 見る",2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ,8,セーターに頭のかたち頭出る
セーターを脱ぎ北窓を開け放ち,-25.80173,0.9849771857261658,0.9999997019767761,セーター,三冬,,2,"脱ぎ, 開け放ち",2,"セーター, 北窓",17,7,竹皮を脱ぎ禅堂を開け放つ,8,大瑠璃の声聞く窓を開け放ち,9,尺八吹く雪嶺に窓開け放ち
セーターの胸の高さを拡げけり,-25.80176,0.9853566288948059,0.9999997019767761,セーター,三冬,けり,1,拡げ,3,"セーター, 胸, けり",17,7,セーターの胸にV切る銀ぐさり,8,白薔薇の胸の高さに咲きにけり,8,麦踏みの胸の厚さを見たりけり
セーターを着て体温を保つなり,-25.802956,0.9945841431617737,0.9999996423721313,セーター,三冬,,2,"着, 保つ",2,"セーター, 体温",17,6,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,8,セーターの袖口ゆるく一人なり
セーターの中の唇美しく,-25.807644,0.9877303838729858,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 中, 唇",17,6,セーターの紫許せ紫禁城,7,橇馬の袋の中の耳うごく,7,セーターの黒い弾力親不孝
セーターを著て少年の時間かな,-25.82003,0.9908510446548462,0.9999995827674866,セーター,三冬,かな,1,著,3,"セーター, 少年, 時間",17,7,セーターを着て晩年のまだ見えず,8,黒豚を抱く少年の素足かな,8,セーターを着て風狂に遠くをり
セーターに首出してゐる女かな,-25.82346,0.9883461594581604,0.9999997019767761,セーター,三冬,かな,2,"首出し, ゐる",3,"セーター, 首, 女",17,7,鼠花火をはげましてゐる女かな,7,白波を繰り出してゐる霞かな,7,板前の外に出てゐる朧かな
セーターの胸突き刺さりゆきにけり,-25.83059,0.9793480038642883,0.9999997019767761,セーター,三冬,けり,1,突き刺さり,4,"セーター, 胸, ゆき, けり",17,8,セーターの赤が似合ひて老いにけり,9,セーターの上に口あり笑ひあり,9,遣羽子の尻叩きけり泣きにけり
セーターの胸の高さよ雑木山,-25.84745,0.9572018384933472,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 雑木, 山",17,7,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり
セーターを著て少年の日がありぬ,-25.855762,0.9920103549957275,0.9999996423721313,セーター,三冬,,2,"著, あり",3,"セーター, 少年, 日",17,7,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,9,セーターの上に口あり笑ひあり
セーターに包みの重さありにけり,-25.858986,0.8203357458114624,0.9999997019767761,セーター,三冬,けり,1,包み,3,"セーター, あり, けり",17,6,蕗の葉に真昼の重さありにけり,7,雪柳花にも重さありにけり,7,鷹柱空に厚みのありにけり
セーターを着て楽しめる女かな,-25.86233,0.9894269704818726,0.9999996423721313,セーター,三冬,かな,2,"着, 楽しめる",2,"セーター, 女",17,7,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,8,セーターを着せられし子の兎跳び
セーターに少女の顎のありにけり,-25.862785,0.988381564617157,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 少女, 顎, あり, けり",17,7,石庭に若葉の風のありにけり,7,中天に木枯の陽のありにけり,7,路地ごとに師走の海のありにけり
セーターの胸の高さに独り住む,-25.867851,0.988391637802124,0.9999997019767761,セーター,三冬,,1,住む,3,"セーター, 胸, 独り",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり,8,祈る手の胸の高さに秋の風
セーターの胸の高さを窓に置く,-25.871288,0.9878981113433838,0.9999997019767761,セーター,三冬,,1,置く,3,"セーター, 胸, 窓",17,8,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,三日三晩盆の暑さを膝に置く
セーターの中の女の顔となる,-25.874697,0.9927939176559448,0.9999996423721313,セーター,三冬,,1,なる,4,"セーター, 中, 女, 顔",17,7,セーターの錨の模様胸を逸れ,7,セーターの胸の薔薇ごと愛さるる,7,セーターの中に貧しき丘がある
セーターを着せてひとりの暮しかな,-25.88057,0.9927211403846741,0.9999997019767761,セーター,三冬,かな,1,着せ,3,"セーター, ひとり, 暮し",17,8,セーターを着せられし子の兎跳び,8,新巻の届くひとりの暮しかな,9,西虚子忌過ぎてひとりの横川かな
セーターの胸の湿りを拭きにけり,-25.887478,0.9868628978729248,0.9999997019767761,セーター,三冬,けり,1,拭き,4,"セーター, 胸, 湿り, けり",17,8,かゑらじの花の鼓動を聴きにけり,8,ぽつぺんの中の日暮を吹きにけり,8,大寒の恙の眉を引きにけり
セーターを着せられてゐる輪転機,-25.890305,0.9930345416069031,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 輪転, 機",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
