本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターの胸の高さに風きたる,-25.894281,0.9850900769233704,0.9999997019767761,セーター,三冬,,1,風きたる,3,"セーター, 胸, 風",17,7,セーターの胸の薔薇ごと愛さるる,8,送り火や胸の高さに風吹いて,8,セーターの赤標的になっている
セーターを着て恐ろしき男なり,-25.90662,0.994376003742218,0.9999997019767761,セーター,三冬,,2,"着, き",2,"セーター, 男",17,6,セーターを着て風狂に遠くをり,7,セルを着て髪美しき男かな,8,冬耕の隔てがましき男なり
セーターのまんなかにある反抗期,-25.910017,0.9896318912506104,0.9999996423721313,セーター,三冬,,1,ある,4,"セーター, まんなか, 反抗, 期",17,7,冬麗のまんなかにある床柱,7,秋風のまんなかにある仏の手,7,大学のまんなかにある初句会
セーターの中の一人の目鼻立ち,-25.911493,0.9879307746887207,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 中, 一人, 目鼻, 立ち",17,8,桃の日や魚屋の魚の目鼻立ち,8,パンジーの中の一つの泣き笑ひ,8,セーターの錨の模様胸を逸れ
セーターを着て潔く老いにけり,-25.92213,0.9921719431877136,0.9999997019767761,セーター,三冬,けり,1,着,3,"セーター, 老い, けり",17,6,セーターを着て風狂に遠くをり,7,セーターの赤が似合ひて老いにけり,8,相撲取おとがひ長く老いにけり
セーターの胸のあたりが痛くなる,-25.926968,0.9825512766838074,0.9999996423721313,セーター,三冬,,1,なる,3,"セーター, 胸, あたり",17,7,セーターの胸の薔薇ごと愛さるる,8,セーターに頭のかたち頭出る,9,初声の壷のあたりが気になりき
セーターに包丁を置く聖母像,-25.940826,0.9548184871673584,0.9999997019767761,セーター,三冬,,1,置く,4,"セーター, 包丁, 聖母, 像",17,7,夕立の中に子を抱く聖母像,8,セーターに乳頭尖らせて少女,8,セーターに頭のかたち頭出る
セーターを着て入口をふさぎけり,-25.94635,0.9933233261108398,0.9999995827674866,セーター,三冬,けり,2,"着, ふさぎ",3,"セーター, 入口, けり",17,7,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,羅を着て前生をおもひけり
セーターの胸くれなゐに眠りけり,-25.951365,0.9882410168647766,0.9999997019767761,セーター,三冬,けり,1,眠り,4,"セーター, 胸, くれなゐ, けり",17,8,織る茣蓙の花くれなゐに雪ごもり,8,土用芽にうすくれなゐの走りけり,8,セーターの王子風邪気におはしけり
セーターを着こなしてゐる昼の酒,-25.956848,0.9882435202598572,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 昼, 酒",17,9,夏空を突きさしてゐる塔の群,9,セーターより子の頸が出る朝の雪,9,子の愚痴をこぼして帰る盆の僧
百姓の赤きセーター編みゐたり,-25.959475,0.9907993078231812,0.9999997019767761,セーター,三冬,,1,編みゐ,3,"百姓, セーター, 編み",17,8,羚羊を胸にセーター編みあがる,8,星空のやうなセーター編みあがる,8,空高し黄のセーターの編み上り
セーターを着せられているベンチかな,-25.965166,0.9903262853622437,0.9999996423721313,セーター,三冬,かな,2,"着せ, いる",2,"セーター, ベンチ",17,8,外套を着せられてゐる別れかな,8,セーターを着せられし子の兎跳び,9,息切れを悟られている秋思かな
セーターに顔埋めてゐる世紀末,-25.969995,0.9855129718780518,0.9999997019767761,セーター,三冬,,2,"埋め, ゐる",3,"セーター, 顔, 世紀",17,7,セーターに顎を埋めて少女期去る,8,セーターに顔出して遠き山が見ゆ,9,くれなゐに布染めてゐる鵙の昼
セーターの胸明るくて歩くなり,-25.989092,0.9834098815917969,0.9999997019767761,セーター,三冬,,1,歩く,2,"セーター, 胸",17,6,セーターの袖口ゆるく一人なり,7,セーターの胸にV切る銀ぐさり,8,セーターの上に口あり笑ひあり
セーターの胸の高さのつめたくて,-25.992939,0.9836862683296204,0.9999997019767761,セーター,三冬,,0,,2,"セーター, 胸",17,8,セーターの樅の木の色会ひたしよ,8,セーターの胸の薔薇ごと愛さるる,8,黒セーター詩人のやうに生きたくて
セーターの女人高野は風の中,-26.003767,0.9755811095237732,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 女人, 高野, 風, 中",17,5,雉子鳴いて女人高野は風の中,8,登り来し女人高野の萩の花,8,セーターの紫許せ紫禁城
セーターの襟の中まで空青し,-26.00519,0.9893800616264343,0.9999997019767761,セーター,三冬,,1,青し,5,"セーター, 襟, 中, 空, 青",17,7,セーターの錨の模様胸を逸れ,8,セーターの上から触れし力瘤,8,セーターの紫許せ紫禁城
セーターを着せられてをる女の子,-26.005545,0.9911571741104126,0.9999997019767761,セーター,三冬,,1,着せ,2,"セーター, 女の子",17,6,セーターを着せられし子の兎跳び,8,鬼飲みをさせられてをる滑子汁,8,死に真似をさせられてゐる春の夢
セーターの胸のあたりの軽さかな,-26.006668,0.9836938381195068,0.9999997019767761,セーター,三冬,かな,0,,3,"セーター, 胸, あたり",17,7,セーターの胸の薔薇ごと愛さるる,7,下北の首のあたりの炎暑かな,8,ひまはりの花のあかりの船出かな
セーターを着て少年の声高し,-26.007223,0.9947115182876587,0.9999997019767761,セーター,三冬,,2,"着, し",2,"セーター, 少年",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,8,セーターに枯葉一片旅さむし
セーターを著てスリッパを脱ぎにけり,-26.022379,0.9908304214477539,0.9999996423721313,セーター,三冬,けり,2,"著, 脱ぎ",3,"セーター, スリッパ, けり",17,10,背を割つて極暑の衣を脱ぎにけり,10,セーターの赤が似合ひて老いにけり,10,寸鉄をもて氷盤を磨ぎにけり
セーターを着こなしてゐる砂時計,-26.0283,0.9876844882965088,0.9999997019767761,セーター,三冬,,3,"着, こなし, ゐる",3,"セーター, 砂, 時計",17,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり,9,セーターを着せられし子の兎跳び
セーターを着て身軽げに老いゆくも,-26.031836,0.9883027672767639,0.9999996423721313,セーター,三冬,,3,"着, 老い, ゆく",1,セーター,17,8,セーターを着て風狂に遠くをり,9,セーターを着て晩年のまだ見えず,9,セーターをあれこれ鏡に夫癒ゆる
セーターの胸明るくてあたたかし,-26.032648,0.981659471988678,0.9999997019767761,セーター,三冬,,0,,2,"セーター, 胸",17,8,竹秋の風騒ぎしてあたたかし,8,セーターを脱ぎてセーターあたたかし,8,メーデーの腕くめば雨にあたたかし
セーターの胸をはだけて妻が来る,-26.033236,0.9860769510269165,0.9999997019767761,セーター,三冬,,2,"はだけ, 来る",3,"セーター, 胸, 妻",17,8,セーターの中に貧しき丘がある,8,セーターの胸の薔薇ごと愛さるる,9,浅黒き胸をはだけてマンゴ売
セーターに顎つき出して疲れけり,-26.040026,0.9860588908195496,0.9999997019767761,セーター,三冬,けり,2,"つき出し, 疲れ",3,"セーター, 顎, けり",17,8,母猫が子につかはれて疲れけり,8,セーターに顎まで埋め怠惰なり,9,セーターの赤が似合ひて老いにけり
セーターに胸板少しありにけり,-26.04106,0.9243410229682922,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸板, あり, けり",17,8,盆路の巌にひびきありにけり,8,曝涼の間に姿見のありにけり,8,真清水に早苗浸してありにけり
セーターを着せられてゐる父と子よ,-26.041832,0.9836493730545044,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 父, 子",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,鬼飲みをさせられてをる滑子汁
セーターの中の赤子を抱き起こす,-26.0421,0.9883544445037842,0.9999997019767761,セーター,三冬,,1,抱き起こす,3,"セーター, 中, 赤子",17,9,セーターの中に貧しき丘がある,9,セーターの樅の木の色会ひたしよ,9,セーターの胸の薔薇ごと愛さるる
セーターの胸をはだけて人逝けり,-26.051083,0.9868451356887817,0.9999997019767761,セーター,三冬,,2,"はだけ, 逝け",3,"セーター, 胸, 人",17,8,セーターの袖口ゆるく一人なり,8,セーターの赤が似合ひて老いにけり,8,セーターの胸にV切る銀ぐさり
セーターの人の背中の見えてゐる,-26.052073,0.9729738235473633,0.9999997019767761,セーター,三冬,,2,"見え, ゐる",3,"セーター, 人, 背中",17,8,雪卸し有事の艦の見えてゐる,8,セーターの胸の薔薇ごと愛さるる,8,セーターの赤標的になっている
セーターに顔入れてゐるうつつかな,-26.053215,0.9825644493103027,0.9999997019767761,セーター,三冬,かな,2,"入れ, ゐる",3,"セーター, 顔, うつつ",17,8,涅槃図に母探しゐるうつつかな,9,風船に縛られてゐる手首かな,9,老人の気に入つてゐる冬木かな
セーターの胸の高さをまぶしめり,-26.063505,0.9833315014839172,0.9999997019767761,セーター,三冬,,1,まぶし,2,"セーター, 胸",17,7,うすずみの世の紅梅をまぶしめり,7,柿の花空の青さをまぶしめり,8,帰省子のひろき額をまぶしめり
セーターの胸をはだけて丁寧に,-26.071085,0.983329713344574,0.056597232818603516,セーター,三冬,,1,はだけ,2,"セーター, 胸",17,8,セーターの胸にV切る銀ぐさり,8,甚平の前をはだけて宇宙論,9,セーターの白は誰にも似合ふ色
セーターの胸の高さに人が立つ,-26.074427,0.9852808117866516,0.9999997019767761,セーター,三冬,,1,立つ,3,"セーター, 胸, 人",17,8,セーターの中に貧しき丘がある,8,大氷河無のしづけさに人等立つ,8,セーターの錨の模様胸を逸れ
セーターを着こなしてゐる老女かな,-26.07857,0.9938633441925049,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 老女",17,8,鼠花火をはげましてゐる女かな,9,フレームをはみ出してゐる蕾かな,9,鵯の日をこぼしゐる大樹かな
セーターを着て美しく生きてをり,-26.082666,0.9943302273750305,0.9999997019767761,セーター,三冬,,2,"着, 生き",1,セーター,17,6,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,セルを着て髪美しき男かな
セーターの襟つき合す母の顔,-26.090586,0.9871727228164673,0.9999997019767761,セーター,三冬,,1,合す,4,"セーター, 襟, 母, 顔",17,8,もち前の角つき合や鹿の恋,8,越後路の軒つき合す雪囲,8,セーターの上から触れし力瘤
セーターを着ていつまでも暮し向き,-26.094158,0.9946392774581909,0.9999996423721313,セーター,三冬,,1,着,2,"セーター, 暮し向き",17,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり,10,齢見えてをりいつまでも春の暮
セーターに顔埋めてやる男の子,-26.10301,0.9818000793457031,0.9999997019767761,セーター,三冬,,2,"埋め, やる",3,"セーター, 顔, 男の子",17,7,セーターに顎を埋めて少女期去る,8,セーターに顔出して遠き山が見ゆ,9,水の秋笛吹いてゐる男の子
セーターの胸のところが真赤なり,-26.10788,0.9820473194122314,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, ところ",17,8,セーターの袖口ゆるく一人なり,8,セーターの胸にV切る銀ぐさり,8,セーターの胸の薔薇ごと愛さるる
セーターを着てもひとりの世界かな,-26.109627,0.9825383424758911,0.9999997019767761,セーター,三冬,かな,1,着,3,"セーター, ひとり, 世界",17,9,われひとり夫もひとりの露台かな,9,セーターを着て晩年のまだ見えず,9,セーターを着て風狂に遠くをり
セーターを肩にかけたる二人かな,-26.11063,0.9918622374534607,0.9999997019767761,セーター,三冬,かな,1,かけ,3,"セーター, 肩, 二人",17,7,一年を菊にかけたる男かな,7,夕蟇を杖にかけたる散歩かな,7,生涯を恋にかけたる桜かな
セーターの胸熱くしてあはれなり,-26.114511,0.9863036274909973,0.9999997019767761,セーター,三冬,,1,し,3,"セーター, 胸, あはれ",17,8,草の市價安くてあはれなり,8,鳴く鳩の胸熱くして暮春かな,8,渋柿の色艶栄えてあはれなり
セーターを着て少年を思ひをり,-26.11646,0.9951958656311035,0.9999996423721313,セーター,三冬,,2,"着, 思ひ",2,"セーター, 少年",17,5,セーターを着て風狂に遠くをり,7,すかんほを噛み残年を思ひをり,7,セーターを着て晩年のまだ見えず
セーターに顔寄せてゐる童女かな,-26.117144,0.9891195893287659,0.9999997019767761,セーター,三冬,かな,2,"寄せ, ゐる",3,"セーター, 顔, 童女",17,8,セーターに顔出して遠き山が見ゆ,8,腹の上に猫のせてゐる二日かな,8,紫蘇殻をにほはせてゐる焚火かな
水呑んでセーターに顔上げにけり,-26.117264,0.9837638139724731,0.9999997019767761,セーター,三冬,けり,1,呑ん,5,"水, セーター, 顔, 上げ, けり",17,8,それつきりの春雷に顔上げにけり,9,ゆりかもめ端を岸に上げにけり,9,水澄んでひとりの母となりにけり
セーターをはみ出してゐる人の貌,-26.118864,0.9892975687980652,0.9999997019767761,セーター,三冬,,2,"はみ出し, ゐる",3,"セーター, 人, 貌",17,7,肩幅をはみ出してゐる麦藁帽,7,羽子板をはみ出してゐる写楽の目,7,フレームをはみ出してゐる蕾かな
セーターを着せられて来しところかな,-26.119528,0.9935564398765564,0.9999997019767761,セーター,三冬,かな,2,"着せ, 来",2,"セーター, ところ",17,7,セーターを着せられし子の兎跳び,9,外套を着せられてゐる別れかな,9,冬満月柳をそれしところかな
セーターを着ていつまでも若かりき,-26.120243,0.9953999519348145,0.9999996423721313,セーター,三冬,,2,"着, き",1,セーター,17,8,セーターを着て風狂に遠くをり,9,セーターを着て晩年のまだ見えず,9,紫蘇揉みし指いつまでも紅かりし
セーターの胸の高さに手を洗う,-26.126797,0.9839407801628113,0.9999997019767761,セーター,三冬,,1,洗う,3,"セーター, 胸, 手",17,7,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり
セーターの胸のさみしき少女かな,-26.13614,0.9820135831832886,0.9999997019767761,セーター,三冬,かな,2,"さみし, き",3,"セーター, 胸, 少女",17,7,紺青の蟹のさみしき泉かな,7,赤松の方のさみしき夏暁かな,8,樗吹く風のさみしき安居かな
セーターを着せられし身の透きとほる,-26.146646,0.9915603399276733,0.9999997019767761,セーター,三冬,,2,"着せ, ほる",3,"セーター, 身, 透き",17,6,セーターを着せられし子の兎跳び,9,穴まどひかくれし草の透きとほる,10,セーターを着て晩年のまだ見えず
セーターに顎埋めてをり日脚のぶ,-26.146955,0.9852852821350098,0.9999997019767761,セーター,三冬,,1,埋め,5,"セーター, 顎, り, 日脚, ぶ",17,7,セーターに顎を埋めて少女期去る,7,病床に忘られてをり日脚のぶ,8,幼な児に胸嗅がれをり日脚のぶ
セーターを着て全身をあつめをり,-26.152473,0.9937042593955994,0.9999996423721313,セーター,三冬,,1,着,3,"セーター, 全身, あつめ",17,6,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,甚平をもて老残をつつみをり
セーターを着ていつまでも暮しをり,-26.162037,0.9952059984207153,0.9999996423721313,セーター,三冬,,1,着,2,"セーター, 暮し",17,7,セーターを着て風狂に遠くをり,9,セーターを着て晩年のまだ見えず,10,セーターを着せられし子の兎跳び
セーターに包まれている少年期,-26.167,0.9861889481544495,0.9999996423721313,セーター,三冬,,2,"包ま, いる",3,"セーター, 少年, 期",17,8,セーターに乳頭尖らせて少女,8,孫たちに囲まれている敗戦日,8,セーターに顎まで埋め怠惰なり
セーターの首をかしげて歩きけり,-26.16747,0.9863686561584473,0.9999996423721313,セーター,三冬,けり,2,"かしげ, 歩き",3,"セーター, 首, けり",17,8,凩に面を上げて歩きけり,8,スケーター心をかたちに描きけり,8,土用浪能登をかしげて通りけり
戻り来てセーターに顔入れにけり,-26.17866,0.9906622767448425,0.9999997019767761,セーター,三冬,けり,1,戻り来,4,"セーター, 顔, 入れ, けり",17,7,戻り来て深夜の雛に逢ひにけり,9,花に来て都の雨にふられけり,9,渡り来て島の小鳥となりにけり
セーターに片手をかざす子供かな,-26.19963,0.9832184910774231,0.9999997019767761,セーター,三冬,かな,1,かざす,3,"セーター, 片手, 子供",17,8,鷺の羽に夕日をかざす時雨かな,9,山の端に乙鳥をかへす入日かな,9,セーターに頭のかたち頭出る
セーターを着て少年の声発す,-26.21657,0.9933010339736938,0.9999997019767761,セーター,三冬,,2,"着, 発す",3,"セーター, 少年, 声",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,8,セーターを着せられし子の兎跳び
セーターに顎埋めてゐる妻の愛,-26.221743,0.9863749742507935,0.9999997019767761,セーター,三冬,,2,"埋め, ゐる",4,"セーター, 顎, 妻, 愛",17,6,セーターに顎を埋めて少女期去る,8,くれなゐに布染めてゐる鵙の昼,8,セーターに顎まで埋め怠惰なり
セーターの男ばかりの写真館,-26.225283,0.987165629863739,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 男, 写真",17,7,潮焼の男ばかりの踊かな,7,七十路の男ばかりの花筵,8,梨畑の女ばかりの袋掛
百姓にセーター着せて帰りけり,-26.228754,0.9856311678886414,0.9999997019767761,セーター,三冬,けり,2,"着せ, 帰り",3,"百姓, セーター, けり",17,8,炎天に墓を残して帰りけり,8,喪の客の雪を哭かせて帰りけり,8,百姓の顔で案山子の帰りけり
セーターの襟つき合す背中かな,-26.230722,0.9866724014282227,0.9999997019767761,セーター,三冬,かな,1,合す,3,"セーター, 襟, 背中",17,8,稻妻の壁つき通す光りかな,8,君が代のかほつき合す榾家かな,9,短かくて毛布つき足す蒲団かな
セーターを着て老人の話など,-26.247179,0.9926977157592773,0.0019278526306152344,セーター,三冬,,1,着,3,"セーター, 老人, 話",17,7,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,8,セーターを着せられし子の兎跳び
セーターの襟合はせゐる眼鏡かな,-26.251251,0.9907388091087341,0.9999997019767761,セーター,三冬,かな,2,"襟合は, ゐる",3,"セーター, 襟, 眼鏡",17,8,漸寒の手を合はせゐる出雲かな,8,三伏の酢を合はせゐる夕べかな,8,メーデーの縄を張りゐる巡査かな
セーターの胸こそばゆき子守歌,-26.252968,0.9778104424476624,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, ゆき, 子守, 歌",17,8,セーターの胸にV切る銀ぐさり,8,足裏の土こそばゆき佛生会,9,セーターの赤標的になっている
セーターの襟から出たる男かな,-26.255219,0.992469847202301,0.9999996423721313,セーター,三冬,かな,1,出,3,"セーター, 襟, 男",17,6,蓬莱の下から出たる旭かな,7,セーターの上から触れし力瘤,8,大店の檐つらねたる柳かな
セーターの襟かき合せ赤子泣く,-26.262255,0.9869005084037781,0.9999997019767761,セーター,三冬,,2,"かき合せ, 泣く",3,"セーター, 襟, 赤子",17,8,セーターの紫許せ紫禁城,8,セーターの上から触れし力瘤,9,セーターの上に口あり笑ひあり
セーターの胸熱くして車椅子,-26.275171,0.9836547374725342,0.9999997019767761,セーター,三冬,,1,し,4,"セーター, 胸, 車, 椅子",17,8,ヒーターの中にくるしい水の音,8,セーターの中に貧しき丘がある,8,萩の園身を乗り出して車椅子
セーターを著て大学を出たりけり,-26.27918,0.9913837909698486,0.9999997019767761,セーター,三冬,けり,2,"著, 出",3,"セーター, 大学, けり",17,8,セーターを着て風狂に遠くをり,9,陽炎に扇を敷て寝たりけり,9,セーターを着て晩年のまだ見えず
セーターの胸の高さよ平和主義,-26.283056,0.9812248945236206,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 平和, 主義",17,8,セーターの胸にV切る銀ぐさり,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ
セーターを着せられながら教師妻,-26.28859,0.9927092790603638,0.9999996423721313,セーター,三冬,,1,着せ,3,"セーター, 教師, 妻",17,6,セーターを着せられし子の兎跳び,9,セーターを着て風狂に遠くをり,9,セーターを着て晩年のまだ見えず
セーターの胸の高さやオートバイ,-26.291643,0.9696012139320374,0.9999997019767761,セーター,三冬,や,0,,3,"セーター, 胸, オートバイ",17,8,セーターの胸の薔薇ごと愛さるる,9,セーターの胸にV切る銀ぐさり,9,セーターの錨の模様胸を逸れ
セーターの首をのべたる赤子かな,-26.293465,0.9784014821052551,0.9999997019767761,セーター,三冬,かな,1,のべ,3,"セーター, 首, 赤子",17,8,星合の敲きのべたる一句かな,8,メーデーの縄を張りゐる巡査かな,8,南天の実を集めたる赤さかな
セーターの袖を汚して戻りけり,-26.300936,0.989177942276001,0.9999997019767761,セーター,三冬,けり,2,"汚し, 戻り",3,"セーター, 袖, けり",17,6,野施行の水を濁して戻りけり,7,セーターの袖口ゆるく一人なり,7,葉隠りの滝に礼して戻りけり
セーターを着せられてゐる越後かな,-26.304901,0.9948840141296387,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 越後",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,猫の尻見せられてゐる大暑かな
セーターに腰を下ろして少年期,-26.3071,0.9886196851730347,0.9999980330467224,セーター,三冬,,1,下ろし,4,"セーター, 腰, 少年, 期",17,7,セーターに顎を埋めて少女期去る,7,セーターに乳頭尖らせて少女,8,石あれば腰を下ろして天高し
セーターを著て老いゆくを見守りぬ,-26.311487,0.9925376176834106,0.9999997019767761,セーター,三冬,,4,"著, 老い, ゆく, 見守り",1,セーター,17,8,セーターを着て風狂に遠くをり,9,セーターを着て晩年のまだ見えず,10,セーターの袖口ゆるく一人なり
セーターの胸に据ゑたる男の子,-26.315247,0.9825316667556763,0.9999997019767761,セーター,三冬,,1,据ゑ,3,"セーター, 胸, 男の子",17,7,セーターの胸にV切る銀ぐさり,8,テーブルを庭に据ゑたり草の花,8,セーターの中に貧しき丘がある
セーターの胸をはだけて旅の妻,-26.317137,0.9873013496398926,0.9999997019767761,セーター,三冬,,1,はだけ,4,"セーター, 胸, 旅, 妻",17,8,セーターの胸にV切る銀ぐさり,8,甚平の前をはだけて宇宙論,9,骨片の白くくだけて冬の蝶
セーターの人形つかふ乳房あり,-26.317532,0.8597528338432312,0.9999997019767761,セーター,三冬,,2,"つかふ, 乳房あり",3,"セーター, 人形, 乳房",17,7,セーターの上に口あり笑ひあり,8,セーターの中に貧しき丘がある,8,セーターの胸にV切る銀ぐさり
セーターを着て少年の視線なり,-26.320168,0.9914406538009644,0.9999996423721313,セーター,三冬,,1,着,3,"セーター, 少年, 視線",17,6,セーターを着て晩年のまだ見えず,6,セーターを着て風狂に遠くをり,8,セーターに顎まで埋め怠惰なり
セーターの胸はだけたる軽さかな,-26.326738,0.982542872428894,0.9999997019767761,セーター,三冬,かな,0,,2,"セーター, 胸",17,8,セーターの胸にV切る銀ぐさり,8,セーターの胸の薔薇ごと愛さるる,9,秋の夜の猫のあけたる障子かな
セーターを着て淋しさの極みより,-26.33044,0.7905492782592773,0.999999463558197,セーター,三冬,,1,着,2,"セーター, 極み",17,7,セーターを着て風狂に遠くをり,8,セーターに着きし羽毛のいづくより,8,セーターを着せられし子の兎跳び
セーターに身の軽くなる話など,-26.34333,0.9856938719749451,0.995850145816803,セーター,三冬,,1,なる,3,"セーター, 身, 話",17,8,晴天に身の軽くなり草の絮,8,セーターに顎まで埋め怠惰なり,8,セーターに頭のかたち頭出る
セーターの胸の高さを乗せて着く,-26.34475,0.9892606735229492,0.9999997019767761,セーター,三冬,,2,"乗せ, 着く",2,"セーター, 胸",17,8,セーターの胸の薔薇ごと愛さるる,9,セーターの胸にV切る銀ぐさり,9,セーターの樅の木の色会ひたしよ
セーターの黒き匂ひを持ち歩く,-26.350002,0.9909942746162415,0.9999997019767761,セーター,三冬,,3,"黒き, 匂ひ, 持ち歩く",2,"セーター, 黒",17,7,初売りのパンの匂ひを持ち歩く,8,黒雪渓山の睡気を持ち歩く,8,セーターの黒い弾力親不孝
セーターに帽子の紐を結び合ふ,-26.352293,0.9860526919364929,0.9999997019767761,セーター,三冬,,2,"結び, 合ふ",3,"セーター, 帽子, 紐",17,7,踊笠出番の紐を結び合ふ,8,セーターに頭のかたち頭出る,9,朝焼の尾根にザイルを結び合ふ
セーターを着て顔の皺残りけり,-26.356491,0.9918140769004822,0.9999997019767761,セーター,三冬,けり,1,着,5,"セーター, 顔, 皺, 残り, けり",17,6,セーターを着て風狂に遠くをり,7,セーターを着て晩年のまだ見えず,8,寒椿落ちて火の線残りけり
セーターの襟を正してゆれどほし,-26.365675,0.9900739192962646,0.9999997019767761,セーター,三冬,,2,"正し, ゆれ",3,"セーター, 襟, ほし",17,9,セーターの堅きに触れてとまどえり,9,セーターの赤をよそほう悲しみも,9,鉄塔の列を正して夏近し
セーターの胸こそばゆく子供かな,-26.374565,0.9830721616744995,0.9999997019767761,セーター,三冬,かな,0,,3,"セーター, 胸, 子供",17,9,思ひ出のみなこそばゆき跣足かな,9,水鳥の胸に分けゆく桜かな,9,汐汲みの汐こぼしゆく冬日かな
セーターの肩に触れたる怒りかな,-26.380594,0.9855866432189941,0.9999997019767761,セーター,三冬,かな,1,触れ,3,"セーター, 肩, 怒り",17,7,繋舟の櫂に触れたる藻刈かな,7,涼風の筋に触れたる刹那かな,8,セーターの胸にV切る銀ぐさり
セーターを着こなして立つ女の子,-26.384398,0.9881200194358826,0.9999996423721313,セーター,三冬,,3,"着, こなし, 立つ",2,"セーター, 女の子",17,9,セーターを腰に巻きつけ津軽っ子,9,セーターを着て風狂に遠くをり,9,セーターを着せられし子の兎跳び
セーターの胸のあたりを少女駈け,-26.386147,0.9827674627304077,0.9999997019767761,セーター,三冬,,1,駈け,4,"セーター, 胸, あたり, 少女",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの錨の模様胸を逸れ,9,鴨どつと胸のあたりを帰りゆく
セーターの胸をはだけて水流す,-26.38812,0.9822642207145691,0.9999997019767761,セーター,三冬,,1,はだけ,3,"セーター, 胸, 水流",17,8,セーターの胸にV切る銀ぐさり,8,甚平の前をはだけて宇宙論,9,セーターの錨の模様胸を逸れ
セーターに胸の高さを置きざりに,-26.390003,0.9836074709892273,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 胸, 置きざり",17,9,防風掘しだいに友を置きざりに,9,セーターの胸にV切る銀ぐさり,9,夕立去る森の匂ひを置き去りに
セーターの襟もと色の変りけり,-26.391527,0.9429322481155396,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 襟もと, 色, 変り, けり",17,8,セーターや蒼茫と山北にあり,8,セーターの上に口あり笑ひあり,8,水祝戀の敵と名のりけり
セーターに顔入れてゐる少女らし,-26.400597,0.9892764687538147,0.9999997019767761,セーター,三冬,,2,"入れ, ゐる",3,"セーター, 顔, 少女",17,8,セーターに顔出して遠き山が見ゆ,8,セーターに乳頭尖らせて少女,9,梟の羽根に隠れてゐるもよし
