本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターの中の一人の眼が笑う,-26.401062,0.9907922744750977,0.9999997019767761,セーター,三冬,,1,笑う,4,"セーター, 中, 一人, 眼",17,7,セーターの中に貧しき丘がある,7,パンジーの中の一つの泣き笑ひ,8,メーデーの遂に一人の家路にて
セーターを着て少年の匂いもつ,-26.408636,0.9920904636383057,0.9999996423721313,セーター,三冬,,2,"着, もつ",3,"セーター, 少年, 匂い",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,9,かなしみを捨て大年の湖に立つ
セーターの紐ゆるやかに裏返す,-26.420183,0.9819599986076355,0.9999997019767761,セーター,三冬,,1,裏返す,2,"セーター, 紐",17,7,春の夜の紐ゆるやかに束ね髪,8,二挺艪の音ゆるやかに蝶の昼,8,セーターの袖口ゆるく一人なり
セーターを着て楽団に加はりぬ,-26.42044,0.9916020035743713,0.9999997019767761,セーター,三冬,,2,"着, 加はり",2,"セーター, 楽団",17,6,セーターを着て風狂に遠くをり,8,竹皮を脱ぎ月光に加はりぬ,8,暗きより出でて踊に加はりぬ
セーターの胸の高さを持しけり,-26.420588,0.9879482984542847,0.9999997019767761,セーター,三冬,けり,1,持し,3,"セーター, 胸, けり",17,7,セーターの胸にV切る銀ぐさり,8,白障子人の深さを映しけり,8,麦踏みの胸の厚さを見たりけり
セーターを着て物言はぬ少女かな,-26.421638,0.994911253452301,0.9999997019767761,セーター,三冬,かな,2,"着, 言は",3,"セーター, 物, 少女",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,9,セーターを着せられし子の兎跳び
セーターに顔埋めてゐる牧の牛,-26.422258,0.9823274612426758,0.9999997019767761,セーター,三冬,,2,"埋め, ゐる",4,"セーター, 顔, 牧, 牛",17,7,セーターに顎を埋めて少女期去る,8,くれなゐに布染めてゐる鵙の昼,8,セーターに顔出して遠き山が見ゆ
セーターの中より人の笑ひ声,-26.423273,0.9943637847900391,0.9999996423721313,セーター,三冬,,0,,4,"セーター, 中, 人, 笑ひ声",17,7,セーターの上に口あり笑ひあり,8,現身の寒極りし笑ひ声,8,鳥雲に腕の中より嬰のこゑ
セーターの胸くぼませて歩くなり,-26.42822,0.9865661859512329,0.9999997019767761,セーター,三冬,,2,"くぼま, 歩く",2,"セーター, 胸",17,8,セーターの袖口ゆるく一人なり,8,セーターの胸にV切る銀ぐさり,9,セーターに顎まで埋め怠惰なり
セーターを横抱きにして老いゆくか,-26.43546,0.9861637353897095,0.9999997019767761,セーター,三冬,,3,"し, 老い, ゆく",2,"セーター, 横抱き",17,8,一塊の雪を抱きて老いゆく樹,9,烏柄杓ばかり殖やして老いゆくか,9,セーターの赤が似合ひて老いにけり
セーターに首をのせたる手足かな,-26.436035,0.9820235371589661,0.9999997019767761,セーター,三冬,かな,1,のせ,3,"セーター, 首, 手足",17,8,草刈の草に負けたる手足かな,8,雛の日の海をのせたる籬かな,8,セーターに頭のかたち頭出る
セーターの胸の奥まで父のこと,-26.441814,0.9851674437522888,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, 奥, 父, こと",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり,8,冬日差し胸の奥までこんこんと
セーターに重き背中のありにけり,-26.45341,0.9820680022239685,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 重き, 背中, あり, けり",17,7,穂芒に迅き流れのありにけり,7,月光に荒き隙間のありにけり,7,桐一葉村に忌中のありにけり
セーターを着てスリッパをはきながら,-26.458103,0.9899686574935913,3.5762786865234375e-7,セーター,三冬,,2,"着, はき",2,"セーター, スリッパ",17,10,セーターを着て風狂に遠くをり,10,年くれぬ笠着て草鞋はきながら,10,セーターを着るとき垂れ目はつきりと
セーターの皺の男と女かな,-26.458334,0.9671970009803772,0.9999997019767761,セーター,三冬,かな,0,,4,"セーター, 皺, 男, 女",17,6,煮凝の果ての男と女かな,6,夏祭旬の男と女かな,6,青大将この日男と女かな
セーターの胸の高さにはじまりし,-26.461357,0.9859321713447571,0.9999997019767761,セーター,三冬,,2,"はじまり, し",2,"セーター, 胸",17,8,蓑虫の簑の風雪はじまりし,8,落葉風庭の一樹にはじまりし,8,セーターの胸にV切る銀ぐさり
セーターの少女の膝の大きくて,-26.461706,0.9834424257278442,0.9999997019767761,セーター,三冬,,0,,3,"セーター, 少女, 膝",17,8,雲の峰ピアスの穴の大きくて,8,セーターの錨の模様胸を逸れ,9,捩花や少女の会釈大人びて
セーターを着せられさうな荷物かな,-26.47036,0.9912623167037964,0.9999997019767761,セーター,三冬,かな,1,着せ,2,"セーター, 荷物",17,7,セーターを着せられし子の兎跳び,9,外套を着せられてゐる別れかな,10,亡き母に叱られさうな湯ざめかな
セーターの襟の中までうつくしく,-26.472364,0.9839711785316467,0.9999996423721313,セーター,三冬,,0,,3,"セーター, 襟, 中",17,8,セーターの樅の木の色会ひたしよ,8,餅配大和の畝のうつくしく,9,通草割く指の力をうつくしく
セーターの胸をはだけて泪ぐむ,-26.472818,0.9864528179168701,0.9999997019767761,セーター,三冬,,2,"はだけ, 泪ぐむ",2,"セーター, 胸",17,8,セーターの胸にV切る銀ぐさり,8,甚平の前をはだけて宇宙論,9,セーターの錨の模様胸を逸れ
セーターの襟の中まで熱かつし,-26.478626,0.9844067096710205,0.9999997019767761,セーター,三冬,,1,し,4,"セーター, 襟, 中, 熱",17,8,馬追の足の先まで青かりし,8,セーターの樅の木の色会ひたしよ,8,セーターの錨の模様胸を逸れ
セーターの胸で背中を押されゆく,-26.484316,0.9317423701286316,0.9999997019767761,セーター,三冬,,2,"押さ, ゆく",3,"セーター, 胸, 背中",17,9,セーターの胸にV切る銀ぐさり,9,セーターの胸の薔薇ごと愛さるる,9,セーターの錨の模様胸を逸れ
セーターの胸奪はるる思ひあり,-26.488176,0.9873387813568115,0.9999997019767761,セーター,三冬,,2,"奪は, 思ひ",3,"セーター, 胸, あり",17,6,セーターの胸にV切る銀ぐさり,6,セーターの上に口あり笑ひあり,7,セーターの袖口ゆるく一人なり
セーターを着こなしてゐる父である,-26.49253,0.9946175217628479,0.9999996423721313,セーター,三冬,,4,"着, こなし, ゐる, ある",2,"セーター, 父",17,9,セーターの中に貧しき丘がある,10,セーターを着て風狂に遠くをり,10,セーターを着て晩年のまだ見えず
セーターの人形の胸触れてをり,-26.503761,0.9827690124511719,0.9999997019767761,セーター,三冬,,1,触れ,3,"セーター, 人形, 胸",17,7,セーターの上から触れし力瘤,8,セーターの胸にV切る銀ぐさり,8,天井に七夕竹の触れてをり
セーターの胸の高さを引き締めし,-26.514236,0.981884777545929,0.9999996423721313,セーター,三冬,,2,"引き締め, し",2,"セーター, 胸",17,8,セーターの胸の薔薇ごと愛さるる,9,冬山のほのぼのしさを引きあてる,9,セーターの樅の木の色会ひたしよ
セーターを着て顔の皺ひとつなし,-26.515078,0.9918713569641113,0.9999997019767761,セーター,三冬,,1,着,5,"セーター, 顔, 皺, ひと, なし",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,9,セーター着て素顔の日日の流れ行く
セーターの胸のつめたき夜の街,-26.519148,0.9853966236114502,0.9999997019767761,セーター,三冬,,0,,6,"セーター, 胸, つめ, たき, 夜, 街",17,7,万緑の奥のつめたき水の音,8,武尊嶺の風のつめたき春祭,8,三椏の花のつめたき雫かな
セーターの人形の胸明るくて,-26.522158,0.9739747643470764,0.9999996423721313,セーター,三冬,,0,,3,"セーター, 人形, 胸",17,7,天道蟲宵の電車の明るくて,7,天道虫宵の電車の明るくて,7,沼五月雨の水輪の明るくて
セーターに顎のあたりて戻りけり,-26.524208,0.20645302534103394,0.9999997019767761,セーター,三冬,けり,1,戻り,4,"セーター, 顎, あたり, けり",17,7,二三日霧にあたりて泊りけり,8,市中に枯野のありて泊りけり,8,緑蔭は人に譲りて戻りけり
セーターの胸透き通る海の色,-26.525454,0.983519434928894,0.9999997019767761,セーター,三冬,,1,透き通る,4,"セーター, 胸, 海, 色",17,7,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ,8,セーターの黒い弾力親不孝
セーターに包丁の音ひびきけり,-26.52704,0.9785360097885132,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 包丁, 音, ひびき, けり",17,8,浅漬に老の耳奥ひびきけり,8,秋風や検診の声ひびきけり,8,餅花に開演ベルのひびきけり
セーターを胸に降ろして妻帰る,-26.527172,0.9923011660575867,0.9999997019767761,セーター,三冬,,2,"降ろし, 帰る",3,"セーター, 胸, 妻",17,8,セーターの中に貧しき丘がある,8,セーターの胸にV切る銀ぐさり,9,盆花を横抱きにして父帰る
セーターの胸ぬらしたる汚れなし,-26.528496,0.9888080954551697,0.9999997019767761,セーター,三冬,,1,ぬらし,4,"セーター, 胸, 汚れ, なし",17,8,セーターの胸にV切る銀ぐさり,9,セーターの上から触れし力瘤,9,セーターの袖口ゆるく一人なり
セーターの胸あたたかき少女来る,-26.53866,0.9856128692626953,0.9999997019767761,セーター,三冬,,1,少女来る,4,"セーター, 胸, かき, 少女",17,8,セーターの中に貧しき丘がある,8,セーターの胸の薔薇ごと愛さるる,9,水底の砂あたたかき野菊かな
セーターの手持無沙汰を詫びに出る,-26.539328,0.9814726710319519,0.9999997019767761,セーター,三冬,,1,出る,4,"セーター, 手持, 沙汰, 詫び",17,10,奪衣婆の手持無沙汰の小春かな,10,セーターの胸の薔薇ごと愛さるる,10,禁煙の手持無沙汰の秋扇
セーターを脱ぎて軽さを失へり,-26.543428,0.99425208568573,0.9999997019767761,セーター,三冬,,2,"脱ぎ, 失へ",1,セーター,17,8,セーターを着て風狂に遠くをり,8,ふらここを降りて翼を失へり,9,蟻穴を出て一天を窺へり
セーターに顔埋めてゐる椅子にゐる,-26.543444,0.9875624179840088,0.9999997019767761,セーター,三冬,,3,"埋め, ゐる, ゐる",3,"セーター, 顔, 椅子",17,8,セーターに顎を埋めて少女期去る,9,セーターに顔出して遠き山が見ゆ,10,夕焼を睫に溜めて汽車にゐる
セーターの胸美しき子の誕生日,-26.54876,0.990925669670105,0.9999997019767761,セーター,三冬,,0,,6,"セーター, 胸, 美, 子, 誕生, 日",17,8,セーターの中に貧しき丘がある,8,セーターの胸にV切る銀ぐさり,8,蛤の酒蒸し夫の誕生日
セーターの肩やはらかく反抗期,-26.54988,0.9902696013450623,0.9999997019767761,セーター,三冬,や,0,,6,"セーター, 肩, はら, かく, 反抗, 期",17,8,セーターの上から触れし力瘤,8,草摘みの土やはらかく雨上る,9,わら屋根に影やはらかく竹の春
セーターを着せられをりし男の子,-26.554586,0.9912397265434265,0.9999997019767761,セーター,三冬,,1,着せ,2,"セーター, 男の子",17,6,セーターを着せられし子の兎跳び,9,セーターを腰に巻きつけ津軽っ子,9,セーターの上から触れし力瘤
セーターをはみ出してゐるボールペン,-26.557116,0.8880692720413208,0.999996542930603,セーター,三冬,,2,"はみ出し, ゐる",3,"セーター, ボール, ペン",17,9,肩幅をはみ出してゐる麦藁帽,9,羽子板をはみ出してゐる写楽の目,9,フレームをはみ出してゐる蕾かな
セーターを着せられて身の軽さかな,-26.558006,0.9929914474487305,0.9999997019767761,セーター,三冬,かな,1,着せ,2,"セーター, 身",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,9,父の忌へ着ぶくれし身の重さかな
セーターの肩にのせたる女かな,-26.559034,0.9874781370162964,0.9999997019767761,セーター,三冬,かな,1,のせ,3,"セーター, 肩, 女",17,7,雛の日の海をのせたる籬かな,8,三山の闇に置きたる扇かな,8,花茨故郷の路に似たるかな
セーターの襟の中より男の子,-26.559149,0.9877089858055115,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 襟, 中, 男の子",17,7,曲水の女の童より男の童,7,日盛りの石の中より水の音,7,お彼岸の雪の中より人の顔
セーターの男が赤い舌を出す,-26.564638,0.9850761890411377,0.9999993443489075,セーター,三冬,,1,出す,3,"セーター, 男, 舌",17,7,セーターの錨の模様胸を逸れ,8,セーターに頭のかたち頭出る,8,セーターの紫許せ紫禁城
セーターを著て無口なる男なり,-26.56729,0.9927598237991333,0.9999997019767761,セーター,三冬,,1,著,3,"セーター, 無口, 男",17,7,セーターを着て風狂に遠くをり,8,セーターの袖口ゆるく一人なり,8,セーターに顎まで埋め怠惰なり
セーターの肩のあたりの暗かりき,-26.56988,0.9881052374839783,0.9999997019767761,セーター,三冬,,2,"かり, き",3,"セーター, 肩, あたり",17,8,割れ石榴父のあそびの暗かりき,8,セーターの上に口あり笑ひあり,9,セーターの錨の模様胸を逸れ
セーターのまんなかにある安堵かな,-26.570488,0.9835641384124756,0.9999997019767761,セーター,三冬,かな,1,ある,3,"セーター, まんなか, 安堵",17,8,秋風のまんなかにある仏の手,8,冬麗のまんなかにある床柱,8,オーバーの裏側にある荒野かな
セーターを著て友情を深うせり,-26.573654,0.9877713918685913,0.9999996423721313,セーター,三冬,,1,著,3,"セーター, 友情, せり",17,6,立泳ぎして友情を深うせり,6,たち泳ぎして友情を深うせり,7,セーターを着て風狂に遠くをり
セーターに妻との距離のありにけり,-26.582176,0.9900879859924316,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 妻, 距離, あり, けり",17,8,七夕に夜干の網のありにけり,8,土雛に鼻の高さのありにけり,8,空蝉に草の匂ひのありにけり
セーターの胸の高さに開くまで,-26.582859,0.968040406703949,0.9999995827674866,セーター,三冬,,1,開く,2,"セーター, 胸",17,8,セーターを着て風狂に遠くをり,8,セーターの錨の模様胸を逸れ,8,セーターの胸の薔薇ごと愛さるる
セーターの中に少女が坐り込む,-26.584307,0.986577033996582,0.9999995827674866,セーター,三冬,,1,坐り込む,3,"セーター, 中, 少女",17,7,セーターの中に貧しき丘がある,8,ヒーターの中にくるしい水の音,8,セーターの上に口あり笑ひあり
セーターの胸くつろげて坐りけり,-26.588715,0.9851325154304504,0.9999997019767761,セーター,三冬,けり,2,"くつろげ, 坐り",3,"セーター, 胸, けり",17,6,新涼の胸くつろげてありにけり,8,藁の上の暖くして坐りけり,8,セーターの赤が似合ひて老いにけり
セーターの帽子大きく仰ぎけり,-26.589231,0.9881475567817688,0.9999997019767761,セーター,三冬,けり,1,仰ぎ,3,"セーター, 帽子, けり",17,7,セーターの袖口ゆるく一人なり,8,セーターの王子風邪気におはしけり,8,寒入りの句帖大きく構へけり
セーターの胸みどりなる幼な顔,-26.591547,0.9745083451271057,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, みどり, 顔",17,8,セーターの袖口ゆるく一人なり,8,山の子の声みどりなる夏隣,8,秋口の星みどりなる嶽の上
セーターの胸の高さに身を置かず,-26.60009,0.9870619177818298,0.9999997019767761,セーター,三冬,,1,置か,3,"セーター, 胸, 身",17,8,セーターの錨の模様胸を逸れ,8,メーデーの日の空席に本置かれ,8,ナイターの坩堝の中に身を置きて
セーターの胸の高さや母の愛,-26.600765,0.9824265241622925,0.9999997019767761,セーター,三冬,や,0,,4,"セーター, 胸, 母, 愛",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,7,観音の胸の厚さや稲の花
セーターの黒くなりたる帽子かな,-26.60105,0.985253095626831,0.9999997019767761,セーター,三冬,かな,1,なり,2,"セーター, 帽子",17,7,面影の遠くなりたる油団かな,8,匂ふほどの雪となりたる追儺かな,8,影法師の横になりたる火燵かな
セーターを著てわれよりも老いゆくか,-26.601187,0.9891224503517151,0.9999997019767761,セーター,三冬,,3,"著, 老い, ゆく",1,セーター,17,10,セーターをあれこれ鏡に夫癒ゆる,11,載せ石の灼けて籠の鵜老いゆくか,11,セーターをくぐる両手が宙を突く
セーターの胸の高さに人在らず,-26.60297,0.9859318733215332,0.9999997019767761,セーター,三冬,,1,人在ら,3,"セーター, 胸, 人",17,8,セーターの胸の薔薇ごと愛さるる,8,セーターの胸にV切る銀ぐさり,8,祈る手の胸の高さに秋の風
セーターに肩を落として女来る,-26.617872,0.9885137677192688,0.9999997019767761,セーター,三冬,,2,"落とし, 女来る",3,"セーター, 肩, 女",17,7,セーターに顎を埋めて少女期去る,8,セーターに乳頭尖らせて少女,8,高館に声を落して雁帰る
セーターの胸の高さに息とめぬ,-26.626442,0.9838679432868958,0.9999997019767761,セーター,三冬,,1,とめ,3,"セーター, 胸, 息",17,8,セーターの胸にV切る銀ぐさり,8,セーターの錨の模様胸を逸れ,8,祈る手の胸の高さに秋の風
セーターを着こなして来し子なりけり,-26.627352,0.9942407011985779,0.9999997019767761,セーター,三冬,けり,3,"着, こなし, 来",3,"セーター, 子, けり",17,9,セーターを着て風狂に遠くをり,9,セーターを着せられし子の兎跳び,10,爪弾きして金亀子なりけり
セーターの皺の中なる反抗期,-26.63898,0.9843472242355347,0.9999997019767761,セーター,三冬,,1,中なる,5,"セーター, 皺, 中, 反抗, 期",17,7,セーターの錨の模様胸を逸れ,8,永日の店の中なる大鏡,8,初伊勢の松の中なる三番叟
セーターの胸の高さに重たけれ,-26.640846,0.763764500617981,0.9999997019767761,セーター,三冬,,0,,2,"セーター, 胸",17,7,セーターの錨の模様胸を逸れ,8,白薔薇の胸の高さに咲きにけり,8,誰かれの墓の高さに菊咲けり
セーターを着こなしてゐる雫かな,-26.643963,0.9830798506736755,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 雫",17,8,端然と恋をしてゐる雛かな,8,フレームをはみ出してゐる蕾かな,8,一庵を葺替へてゐる雫かな
セーターを首まぶしがる少女かな,-26.64801,0.011967182159423828,0.9999996423721313,セーター,三冬,かな,0,,3,"セーター, 首, 少女",17,9,セーターに乳頭尖らせて少女,9,勝鶏に手をあましをる夫婦かな,9,塩市の飴をほしがる老父かな
セーターの胸あたたかき恋か死か,-26.652096,0.9836582541465759,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, かき, 恋, 死",17,8,ふるさとの雪あたたかき麓かな,9,鎌倉の雨あたたかき立子の忌,9,黒潮の風あたたかき冬の蝶
セーターに顔埋めるまで働けり,-26.652346,0.9790292382240295,0.9999997019767761,セーター,三冬,,2,"埋める, 働け",2,"セーター, 顔",17,8,セーターに顎を埋めて少女期去る,8,セーターの袖口ゆるく一人なり,8,セーターに首長族のここちせり
セーターを着せて女の無口なる,-26.654213,0.990075409412384,0.9999997019767761,セーター,三冬,,1,着せ,3,"セーター, 女, 無口",17,8,セーターを着て晩年のまだ見えず,8,セーターを着て風狂に遠くをり,8,セーターを着せられし子の兎跳び
セーターの胸のつめたきたなごころ,-26.661371,0.9791016578674316,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, つめ, たき, たなごころ",17,8,人日の少し重たきたなごころ,8,一房の葡萄重たきたなごころ,9,セーターの胸の薔薇ごと愛さるる
セーターに顔をあげたる人形師,-26.66675,0.9843606948852539,0.9999997019767761,セーター,三冬,,1,あげ,3,"セーター, 顔, 人形",17,8,小春日の川をあやつる人形師,8,セーターに頭のかたち頭出る,9,手をかりて腰をあげたる花の山
セーターの胸の高さで少女去る,-26.669588,0.9807118773460388,0.9999997019767761,セーター,三冬,,1,少女去る,3,"セーター, 胸, 少女",17,7,セーターに顎を埋めて少女期去る,7,セーターの胸の薔薇ごと愛さるる,8,セーターに頭のかたち頭出る
セーターの泥をぬらして戻りけり,-26.671875,0.9784430265426636,0.9999997019767761,セーター,三冬,けり,2,"ぬらし, 戻り",3,"セーター, 泥, けり",17,6,春志の石を鳴らして戻りけり,7,野施行の水を濁して戻りけり,8,草の実の色をつくして懸りけり
セーターの帽の中なる少女かな,-26.673826,0.9814462661743164,0.9999997019767761,セーター,三冬,かな,1,中なる,4,"セーター, 帽, 中, 少女",17,7,ねんねこの色の中なる母子かな,7,あらたまの玉の中なる戦火かな,7,秋風の塔の中なる障子かな
セーターの胸の高さに風運ぶ,-26.674402,0.9771260619163513,0.9999997019767761,セーター,三冬,,1,運ぶ,3,"セーター, 胸, 風",17,6,秋の野の花の高さに風遊ぶ,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ
セーターの襟よごれたる足の裏,-26.675861,0.9854767322540283,0.9999997019767761,セーター,三冬,,1,よごれ,4,"セーター, 襟, 足, 裏",17,9,セーターの上に口あり笑ひあり,9,初富士の裾野入れたる海の音,9,セーターの中に貧しき丘がある
着膨れてセーターの胸汚れなし,-26.677158,0.9909303188323975,0.9999997019767761,セーター,三冬,,1,着膨れ,4,"セーター, 胸, 汚れ, なし",17,8,着膨れて籤運恃むこともなし,8,父われにセーターの子の体当り,9,着膨れて書店の中が祭めく
セーターの襟あたたかき男の子,-26.678005,0.9847767949104309,0.9999996423721313,セーター,三冬,,0,,4,"セーター, 襟, かき, 男の子",17,7,歳晩の雨あたたかき父の家,7,黒潮の風あたたかき冬の蝶,7,くれなゐの闇あたたかき雛の間
セーターの胸の高さに世紀末,-26.69233,0.9821376204490662,0.9999996423721313,セーター,三冬,,0,,3,"セーター, 胸, 世紀",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,初花の朴の高さに勤行す
セーターの胸広にして反抗期,-26.696459,0.9815656542778015,0.9999997019767761,セーター,三冬,,1,し,5,"セーター, 胸, 広, 反抗, 期",17,7,オーバーの裾長にして老教授,8,セーターの赤標的になっている,8,セーターの紫許せ紫禁城
セーターに顔埋めてをる男の子,-26.69966,0.9859229326248169,0.9999997019767761,セーター,三冬,,1,埋め,3,"セーター, 顔, 男の子",17,7,セーターに顎を埋めて少女期去る,8,セーターに顔出して遠き山が見ゆ,9,セーターに乳頭尖らせて少女
セーターを着こなすもののありにけり,-26.70446,0.9936609864234924,0.9999997019767761,セーター,三冬,けり,2,"着, こなす",4,"セーター, もの, あり, けり",17,9,形代にをんなの袂ありにけり,9,銭といふ冷やかなものありにけり,10,鮎鮨の鮨にも顔のありにけり
セーターに胸当ててゐる娘かな,-26.708618,0.9853786826133728,0.9999997019767761,セーター,三冬,かな,2,"当て, ゐる",3,"セーター, 胸, 娘",17,8,若竹に猫の寝てゐる畳かな,8,片陰の窓に出てゐる腕かな,8,藤棚の下に来てゐる汀かな
セーターの胸の上なる反戦歌,-26.711958,0.9885703325271606,0.9999997019767761,セーター,三冬,,1,上なる,4,"セーター, 胸, 上, 反戦",17,7,セーターの胸にV切る銀ぐさり,7,セーターの錨の模様胸を逸れ,8,セーターの紫許せ紫禁城
セーターを着て東京に出る日かな,-26.713243,0.9953308701515198,0.9999996423721313,セーター,三冬,かな,2,"着, 出る",3,"セーター, 東京, 日",17,7,セーターを着て風狂に遠くをり,8,セーターを着て晩年のまだ見えず,9,菊枯れて鴻稀に来る日かな
セーターの中の天使の翼かな,-26.714901,0.9870086908340454,0.9999997019767761,セーター,三冬,かな,0,,4,"セーター, 中, 天使, 翼",17,7,メーデーの雨の川渦激すかな,7,朝顔は命の中のいのちかな,7,セーターの錨の模様胸を逸れ
セーターの胸の高さの剥落す,-26.717632,0.962755024433136,0.9999997019767761,セーター,三冬,,1,剥落す,3,"セーター, 胸, 剥落",17,7,セーターの錨の模様胸を逸れ,8,メーデーの束の風船昇天す,8,セーターの紫許せ紫禁城
セーターの胸ポケツトに朝の卓,-26.718628,0.9810429215431213,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, ポケツト, 朝, 卓",17,8,セーターの胸にV切る銀ぐさり,9,セーターより子の頸が出る朝の雪,9,団栗を胸のポケツトにもひとつ
セーターの肩に手を置く心かな,-26.722775,0.9889138340950012,0.9999997019767761,セーター,三冬,かな,1,置く,4,"セーター, 肩, 手, 心",17,7,三月の松に身を置く蛹かな,8,メーデーの友に手を振る停年後,8,木枯の盥に星を聞く夜かな
セーターの肩に余白のありにけり,-26.728197,0.989139199256897,0.9999997019767761,セーター,三冬,けり,0,,5,"セーター, 肩, 余白, あり, けり",17,7,かりそめの露にも影のありにけり,7,大神神社の蟇に項のありにけり,7,セーターの上に口あり笑ひあり
セーターを着て少年の顔変り,-26.729616,0.98674476146698,0.9999996423721313,セーター,三冬,,1,着,4,"セーター, 少年, 顔, 変り",17,6,セーターを着て晩年のまだ見えず,6,セーターを着て風狂に遠くをり,8,セーターや蒼茫と山北にあり
セーターの胸の高さに子を運ぶ,-26.740694,0.9847320318222046,0.9999997019767761,セーター,三冬,,1,運ぶ,3,"セーター, 胸, 子",17,7,セーターの錨の模様胸を逸れ,8,祈る手の胸の高さに秋の風,8,セーターの胸の薔薇ごと愛さるる
セーターを首に吊せば匂ひけり,-26.746412,0.9888559579849243,0.9999997019767761,セーター,三冬,けり,2,"吊せ, 匂ひ",3,"セーター, 首, けり",17,7,セーターの上に口あり笑ひあり,8,セーターに首長族のここちせり,8,セーターの胸にV切る銀ぐさり
セーターの尻を叩いて帰りけり,-26.747007,0.9891735315322876,0.9999997019767761,セーター,三冬,けり,2,"叩い, 帰り",3,"セーター, 尻, けり",17,6,玉苗の尻を叩いて揃へけり,7,白鳥二羽湖光を曳いて帰りけり,7,大試験土手を歩いて帰りけり
セーターに皺の深さのありにけり,-26.748003,0.9839916825294495,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 皺, あり, けり",17,6,土雛に鼻の高さのありにけり,7,初風に藁の匂ひのありにけり,7,障子百枚に梅の木影のありにけり
セーターの襟を正して昼餉かな,-26.748755,0.9885576963424683,0.9999997019767761,セーター,三冬,かな,1,正し,3,"セーター, 襟, 昼餉",17,8,セーターの中に貧しき丘がある,8,夏山の襟を正して最上川,8,河鹿の声の水を流るる昼餉かな
セーターを着せられてゐる今日の妻,-26.751719,0.9779444932937622,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 今日, 妻",17,7,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
真白きセーターを着て老いゆくか,-26.752144,0.9906176328659058,0.9999997019767761,セーター,三冬,,3,"着, 老い, ゆく",2,"き, セーター",17,7,まつ白いセーターを着て逢ひにゆく,9,満月の重力を着て老いてゆく,9,冬蝿につきまとはれて老いゆくか
セーターに顔を集めて笑ひをり,-26.754171,0.9917730093002319,0.9999997019767761,セーター,三冬,,1,集め,3,"セーター, 顔, 笑ひ",17,7,セーターに顎を埋めて少女期去る,7,セーターの上に口あり笑ひあり,8,セーターを着て風狂に遠くをり
セーターの襟がくつきり見えてきし,-26.75567,0.9877765774726868,0.9999995827674866,セーター,三冬,,2,"見え, き",3,"セーター, 襟, くつ",17,8,春渚笑顔はつきり見えてきし,10,初明り父の白息見えてきし,10,セーターの乳房ふつくらもの狂ひ